gene	avg_logFC	pval
alrm	5.758963108062744	0.0
Eaat1	3.9725329875946045	0.0
CG1732	4.608434200286865	0.0
CG43444	4.334341526031494	0.0
CG9394	4.227756023406982	0.0
CG42342	3.928220510482788	0.0
Prosap	3.8411483764648438	0.0
Gs2	2.8416314125061035	0.0
flw	3.478785276412964	0.0
wun2	6.15828275680542	0.0
CG43693	3.502199649810791	0.0
ogre	2.5767903327941895	0.0
bbc	3.397047758102417	0.0
Chd64	3.0368492603302	0.0
Tsp5D	2.735128164291382	3.42523592602484e-309
CG1537	4.146214962005615	2.011966273098184e-295
CG31705	2.3304100036621094	1.713668549467249e-283
Dat	4.6677937507629395	2.3061519532229688e-265
CG1552	2.3375627994537354	2.4431074176101047e-265
CG13631	2.3277642726898193	4.8163850197464916e-242
pum	1.6539753675460815	1.707046024111977e-237
sty	3.079094648361206	2.226073607296364e-232
GstD3	3.851640462875366	1.404701482699324e-230
Adgf-D	2.876281976699829	3.9381463008608274e-228
CG32982	3.144752025604248	3.457583305843423e-220
e	5.50978422164917	7.992371391037323e-210
CG42265	3.106553077697754	2.4582593992026084e-205
CG7607	2.3397254943847656	2.866934494944394e-199
Amph	2.0499095916748047	1.715102525094867e-198
Inx2	2.0131723880767822	6.533317237540285e-187
htl	2.9474823474884033	1.5349703734664586e-183
CG8745	2.3256659507751465	2.9581032996720617e-183
rho	2.7705276012420654	1.407439583603693e-176
CG31235	3.8951966762542725	6.2529065845575126e-170
mbc	3.425633430480957	8.19923465585872e-166
Rh50	1.9633924961090088	4.076675055433931e-159
A2bp1	1.1951653957366943	3.358170110174617e-147
fok	1.8108196258544922	2.3719689366257475e-144
wun	3.060433864593506	3.3227588737243525e-142
CG15209	1.4690114259719849	1.4982059296523606e-135
CG9328	1.9660120010375977	2.654816623571633e-133
CG13822	3.490184783935547	4.7835633911663004e-130
CG6465	2.5813400745391846	1.1697708327332654e-128
Argk	1.2617868185043335	2.3474338203081307e-128
CG1358	1.7266355752944946	7.632756260784922e-124
CG6424	1.1036368608474731	1.2076603417489514e-123
CG1545	1.6363037824630737	6.543909924837447e-122
Cyp4g15	1.886849045753479	9.681452212712947e-120
CG14141	1.6847962141036987	7.252594075317448e-117
CG16857	1.5474480390548706	2.001651650315359e-115
Glut4EF	1.1641916036605835	6.520855797294592e-114
spir	1.6014810800552368	8.96053329233471e-110
beta-Spec	1.8565378189086914	2.9417716626847646e-108
Msr-110	1.5458561182022095	6.801863212939919e-106
Mkp3	1.8794317245483398	1.4648006775262282e-101
CAH1	1.4740720987319946	5.455000053626663e-101
Pde6	2.603729248046875	7.740623526526291e-98
CG15203	3.354879379272461	1.5009080046090067e-94
CG42788	2.4306631088256836	5.284563690965933e-93
mlt	1.433925747871399	2.8678010378120495e-91
GstE2	1.4213871955871582	9.997199157539059e-91
CG42741	5.991506099700928	8.811678359423909e-87
CG14688	1.7573235034942627	1.6605702912393763e-84
CG5273	1.1338770389556885	1.6253669778467913e-83
Cyp28a5	1.3674025535583496	5.5697051856168866e-83
Hexo2	1.9129894971847534	7.519005903814563e-82
Galphai	1.8235231637954712	9.401041936706318e-82
RapGAP1	1.418186902999878	1.5148063259448449e-80
CG3376	3.0324509143829346	1.7896773672865583e-77
Treh	1.3671969175338745	4.8733687199187294e-74
CG6770	0.7552609443664551	5.306577905581902e-73
CG12991	2.9337480068206787	2.4226260467449956e-64
Bacc	0.7077752947807312	2.9464092170699524e-63
retm	1.3332877159118652	3.228897505320878e-63
mei-P26	0.9565715789794922	1.785673135003813e-62
CG4409	1.3949933052062988	4.62721517655362e-62
ab	1.5041484832763672	7.26204376887896e-61
capu	1.8942248821258545	3.737606514571701e-59
Lk6	0.6330640912055969	4.603506677705519e-58
