gene	avg_logFC	pval
CR31451	2.648402690887451	1.0516736175937306e-77
noe	1.424194574356079	1.8547516765405852e-71
wrapper	5.8983306884765625	6.28323683319176e-69
CG9686	3.226496934890747	1.5986615461694241e-68
CG40470	7.181864261627197	2.8764267885084877e-67
Rfabg	3.17488169670105	3.3413148843660223e-65
Cam	1.5493571758270264	9.005075741227269e-64
fne	2.556253671646118	1.0133180337034246e-62
Ddc	3.8260605335235596	1.8074523951185307e-62
Rdl	2.803309679031372	2.6140862066959145e-61
sif	2.5433666706085205	1.5034417313786943e-59
IA-2	2.0630831718444824	1.5339061574268717e-59
Sap47	1.4881466627120972	8.239238967853189e-57
shep	1.2306791543960571	2.2180194153405524e-56
Syt1	2.4870517253875732	3.8324928719147504e-55
CG3270	5.84863805770874	6.783965873411458e-55
para	2.861048936843872	5.399703165618066e-54
CG6329	2.393582344055176	1.6872535137128498e-53
nAChRalpha5	3.0561916828155518	2.7418935760302783e-53
futsch	2.2632176876068115	3.235510906919005e-53
chinmo	3.0668046474456787	4.209204454195731e-52
cpx	1.9633424282073975	7.447956871656191e-52
Ih	2.293750524520874	4.6486508457782364e-51
Sh	2.9679064750671387	6.461686990038131e-50
Dop2R	2.9646146297454834	1.3485501450270534e-49
slo	2.928452491760254	1.831269240425833e-48
Rim	2.9808385372161865	4.4114090890944003e-48
nAChRbeta1	2.7829082012176514	4.472241196590703e-48
Nckx30C	2.4892780780792236	6.040839628751075e-48
ctp	1.2324601411819458	2.1451313490557812e-47
dysc	2.563779830932617	3.484201716243629e-47
nSyb	2.3220653533935547	1.184343367124658e-46
mmd	2.879915714263916	2.474862231005056e-46
bru-3	2.4910733699798584	2.843767681689956e-46
CG10186	2.25638484954834	3.727046184705404e-46
unc-13	1.8241431713104248	3.8914317611234485e-46
scrt	2.5948691368103027	7.04317122143785e-46
CG16779	2.793513774871826	8.584817998613606e-46
Snap25	2.3384859561920166	1.9805827728893136e-45
Ggamma30A	2.130286931991577	2.919066774161151e-45
CG4587	2.6386497020721436	4.174489507668879e-45
Dscam2	3.050649404525757	1.3261492891073833e-44
miple	2.3563919067382812	1.4423338381319415e-44
CG31140	2.2762062549591064	4.226235614537779e-44
CG17839	4.12350606918335	9.475531004291794e-43
tutl	2.7404303550720215	9.746520732765985e-43
sm	1.9986271858215332	2.0096778110691743e-42
CG4467	2.6572072505950928	5.4918243162085824e-42
qvr	2.712533950805664	5.986169409438185e-42
nAChRalpha6	2.6867682933807373	7.280717988013852e-42
Appl	1.9810404777526855	1.7564391913271873e-41
SK	2.8813838958740234	5.246368948312484e-41
cac	2.684047222137451	6.909761086511639e-41
Hk	2.436586618423462	7.889724111411187e-41
Cngl	2.929999828338623	3.3838075153488436e-40
jim	1.3466228246688843	1.619013079647294e-39
CG34127	3.2952523231506348	2.905159689092115e-39
CG42492	2.5025758743286133	4.2111984518215454e-39
7B2	2.0377819538116455	1.5005270349306267e-38
cpo	2.1726841926574707	1.5565540559452032e-38
Nrx-1	2.6180214881896973	3.140346635577713e-38
CG42540	2.5925426483154297	3.631064506327787e-38
CaMKII	1.781572699546814	3.7989727276006484e-38
VhaM9.7-a	2.1947884559631348	4.765168749480521e-38
CG17816	2.3313863277435303	2.2935317659725703e-37
Ank2	2.209432363510132	3.123859910063042e-37
TM4SF	2.230445146560669	4.023100908615067e-37
CadN	2.7186927795410156	4.9463478986339496e-37
Dhit	2.6687381267547607	1.1223165853322749e-36
CG13928	2.5357491970062256	2.61621722855136e-36
14-3-3zeta	0.7240487337112427	4.970587241972401e-36
Ef1alpha100E	2.1920816898345947	5.605267627768595e-36
CG12605	2.4924135208129883	2.0973460451458547e-35
CG6356	2.333841323852539	3.1517395111403586e-35
Alk	2.025588035583496	3.505540196442561e-35
shakB	2.9597537517547607	3.532455298210743e-35
fax	2.1284267902374268	7.000122106445069e-35
Syt7	2.1965596675872803	3.5343656808337413e-34
CG13917	2.0194244384765625	3.4443059180732044e-33
CG42260	2.940363645553589	3.592206895248396e-33
bol	2.158169984817505	5.5065912110075084e-33
GABA-B-R1	3.0231611728668213	6.488263700439943e-33
Lar	2.0444998741149902	7.997978607154555e-33
Glut1	2.9389286041259766	9.499511681631858e-33
CG43729	2.5427141189575195	9.790535620040292e-33
Mid1	2.7787251472473145	1.1752792987037045e-32
brp	2.2097864151000977	1.4001798844977934e-32
stai	1.9831538200378418	1.9286568798866717e-32
CG7971	1.6750413179397583	5.817707380876505e-32
nrv3	1.3861879110336304	1.1372320692104076e-31
GluClalpha	2.4927616119384766	3.9396008853321335e-31
