gene	avg_logFC	pval
Obp44a	2.7084081172943115	3.3241744511174653e-124
Rfabg	2.9279537200927734	2.312305417092474e-111
CG15201	2.3230483531951904	7.553098515587306e-105
mgl	2.0790321826934814	5.667712989030304e-102
CG7084	2.06361722946167	8.988346380616619e-90
Tsf1	2.040742874145508	1.8957004484673926e-88
CG42613	2.4153668880462646	5.432600164341551e-85
ana	2.3886256217956543	9.513425373012514e-84
scro	4.297585487365723	2.663292019902784e-80
CG12269	1.9819351434707642	9.749017018291507e-75
CG9507	1.841368556022644	6.732646352452999e-70
CG31706	1.5064691305160522	1.570646651414384e-69
CG5455	1.9323723316192627	2.795308530082306e-66
sky	1.3755730390548706	2.450350325578501e-64
List	1.8003473281860352	1.4407885327822634e-61
Men-b	1.6930865049362183	2.3774298196700263e-61
Ten-a	1.3818823099136353	6.701604743204176e-57
Sema-1a	1.4194656610488892	1.4555556773867384e-55
CG3523	2.6812686920166016	2.9714934845306465e-54
Cyp1	0.7281315326690674	7.936852530403325e-53
vvl	1.811192274093628	9.067626686500444e-53
axo	1.6480258703231812	6.933109019026201e-52
CG3940	1.453559398651123	3.6548744929408906e-51
CG9657	1.6009653806686401	8.923171703989832e-51
moody	1.911755084991455	7.64418249791679e-50
CG31663	1.5325011014938354	2.6168050229448336e-49
GlcAT-P	1.224685549736023	2.0980485375598985e-48
ome	3.3381361961364746	2.652818411119697e-48
CG2862	1.3241188526153564	1.1345637960099936e-47
Pkn	1.3461384773254395	1.9377682048193398e-44
trol	1.4426368474960327	8.841563649717918e-43
Dop1R1	1.5018417835235596	5.3082428747744514e-42
gce	1.5609453916549683	1.663347364888152e-41
zyd	1.3562507629394531	1.7276086031685736e-40
CR45161	1.2799102067947388	5.085468581864994e-39
CAP	1.2578229904174805	1.4831962848856685e-37
CG5895	1.2049888372421265	4.156381981075711e-37
nuf	1.1629738807678223	5.571247834709772e-37
CG10527	1.44533109664917	7.0415890581916e-37
tkv	1.5885109901428223	2.738581054755225e-35
Sodh-2	2.091418743133545	3.845349277882759e-35
CG5404	1.4553868770599365	8.79349144079378e-34
CG13707	1.2821274995803833	1.1717584933769278e-33
roX1	0.6022995710372925	1.5150167252609289e-33
CG10863	1.2263469696044922	2.6957872283073547e-33
bnb	1.2086180448532104	7.405813144203073e-33
Ugt35b	1.2346220016479492	1.4625661655989753e-31
Dbi	1.1918808221817017	6.392873339593478e-31
E(spl)mbeta-HLH	2.3788020610809326	8.582555734644709e-31
pcs	1.1565964221954346	2.4217669875709364e-29
Syx1A	0.9702712893486023	3.4753930460159516e-28
Gel	1.4724258184432983	1.974742598879408e-27
Syp	0.5748410820960999	4.682235891570064e-27
Baldspot	1.282127022743225	2.1511883854916615e-26
Hydr1	1.522371768951416	2.8200791050300205e-25
Npc2a	0.9873426556587219	7.430880373437424e-25
CG7272	1.6422299146652222	3.721121637426438e-24
Oatp58Dc	1.158837914466858	4.6593466528277334e-24
LpR2	1.2965198755264282	1.007272308040233e-23
CG9691	1.640516996383667	1.4020177218907158e-23
CG5254	1.3235222101211548	3.992091397560222e-23
CG42235	1.2149205207824707	5.546870998775722e-23
CG7509	2.2061336040496826	7.571984830206323e-23
CG9932	0.9324906468391418	1.1762956875857255e-22
CR43259	1.38241446018219	1.4729842707500708e-22
MtnA	0.8501976132392883	1.5607590702774048e-22
N	0.8444883227348328	1.9287538072914993e-21
Inx3	1.136003017425537	3.607182168441296e-21
CG9686	1.2872672080993652	6.142475883834666e-21
sgl	1.2855095863342285	8.678878803599508e-21
egr	3.026817798614502	1.9644565029352546e-20
CG5758	0.5091646313667297	4.7642045742284766e-20
CG32850	1.116240382194519	5.247766919637e-20
aop	1.0752989053726196	1.0413212299379919e-19
Mtl	1.6649476289749146	2.7901750507809963e-19
CG4829	0.7768629789352417	4.97000939455851e-19
CG5955	1.2709676027297974	5.3008005399129455e-19
CG6767	0.8400002717971802	5.792752721376457e-19
CG17508	0.6285926103591919	8.014105199064319e-19
Fkbp14	1.3848342895507812	8.250531354801837e-19
GstE12	0.5956433415412903	5.799010686757675e-18
CG11407	1.2678903341293335	1.616954010865501e-17
CG8369	0.7850202322006226	1.6460325697491957e-17
CR17025	0.9636658430099487	3.445831124901077e-17
tow	1.2103179693222046	1.4470210687710575e-16
Tsp42Ee	0.6841745972633362	1.810394227408222e-16
CDase	0.9595661759376526	6.215744685192706e-16
cv-2	2.357525587081909	1.2563364249426333e-15
Nrg	0.8628764748573303	1.4529297750283516e-15
ced-6	0.8414281606674194	1.7373512362537918e-15
CG10960	0.8665281534194946	2.332353092145596e-15
Idh	0.7479590773582458	2.4409262535366105e-15
Eaat2	0.8900821208953857	3.989679516317454e-15
nrv2	0.833247184753418	8.534603585950713e-15
AnxB9	0.6751782298088074	1.1026991867829691e-14
CG1358	0.7158917784690857	2.0531408790992825e-14
CG11426	1.5666471719741821	2.104517590974535e-14
Ela	1.4672664403915405	2.3386568649985096e-14
COQ7	1.0116218328475952	2.652271704547055e-13
HDAC6	0.9560461044311523	2.7974887160853914e-13
vir-1	0.4002518057823181	3.5664319040767077e-13
spen	0.3900142312049866	6.121489148890612e-13
CG7920	0.6209644079208374	6.705099094952006e-13
CG7737	1.0869075059890747	8.502804441673646e-13
Dscam1	0.6555178761482239	1.0584097942671452e-12
CG9436	1.0775717496871948	1.8869567034768715e-12
Cyp6a2	2.825425624847412	3.5225352500967342e-12
RpL37A	0.11068028956651688	4.17128585885723e-12
RpS16	0.23617367446422577	4.700408144842251e-12
Oatp74D	0.7131507396697998	9.31066131909891e-12
Lsd-2	0.7167403101921082	9.357595082828412e-12
Swip-1	1.0335290431976318	1.1377097751983746e-11
hth	0.557604968547821	1.1779489130063523e-11
Proc-R	1.0145291090011597	1.8600421497000734e-11
CR44107	1.294800043106079	2.8724193310761167e-11
CG4409	0.7207719087600708	4.570039627967012e-11
Meltrin	1.667020559310913	8.077330329572128e-11
salm	3.8557329177856445	8.669603439369937e-11
CG10361	1.7667970657348633	1.1842615415278392e-10
CG1648	0.8551477193832397	1.9868480608087143e-10
CG9486	0.8944829702377319	2.487675243505242e-10
pigs	0.8523200154304504	2.7363555590749514e-10
hoe1	0.6590211987495422	3.0012518625532597e-10
chic	0.5300570130348206	3.333828882639345e-10
CG2852	0.4371458888053894	3.852903366823861e-10
CG15111	1.1939867734909058	5.154681559064676e-10
CG12926	0.8351345062255859	5.921892957836378e-10
CG9689	1.7427090406417847	6.477447053828631e-10
Picot	0.6633163690567017	8.75195474982515e-10
Pglym78	0.2588236927986145	9.608282455856282e-10
RpS29	0.0936051681637764	1.0830481342357808e-09
wts	0.8336745500564575	1.6744250634446877e-09
CG13458	2.527331590652466	1.8050970541328942e-09
santa-maria	0.7568155527114868	1.875659123866771e-09
CG10077	0.42331141233444214	2.20609441257739e-09
pyd	0.8835220336914062	2.764610781604365e-09
mrj	0.7651124596595764	3.0706445502756115e-09
rdgB	0.619019091129303	3.5610738184660776e-09
par-1	0.4712863862514496	4.713853138938085e-09
CG13012	1.5001649856567383	5.885885477661869e-09
CG43313	1.0864574909210205	6.063688824181821e-09
CG32473	0.7070353627204895	6.936131463306275e-09
ps	0.24945825338363647	1.0072407883835144e-08
CG15890	1.3778899908065796	1.1015169590286988e-08
CG31619	0.6620936393737793	1.2668382054615173e-08
Tequila	0.8481956720352173	1.3728027283478478e-08
CG9360	0.8457664847373962	1.405135803301153e-08
GstD9	0.6893274784088135	1.4729227531696405e-08
Abl	0.48375001549720764	2.6926774710910594e-08
CG7442	0.9490579962730408	3.704481831812261e-08
Spn	0.6374297142028809	4.1298469509834244e-08
Dyrk2	1.1663259267807007	4.622275552300161e-08
Sin3A	0.6412256360054016	4.726165279475678e-08
CR44998	0.8869457840919495	5.682137071900511e-08
NFAT	0.47445148229599	5.9448448066733254e-08
Irc	0.8169054388999939	6.305972459642167e-08
psq	0.39956045150756836	7.309698343296806e-08
CR45131	1.110661506652832	8.521742398975143e-08
jim	0.29964426159858704	9.576950666932439e-08
CG2765	0.7595436573028564	9.763955880780903e-08
scyl	0.413009375333786	9.780625007185738e-08
MYPT-75D	0.7282477617263794	1.7342811643472442e-07
wdp	0.8503312468528748	1.800913235024966e-07
CG12177	0.5421216487884521	2.0061680719562426e-07
csw	0.6117984652519226	2.5442908746836555e-07
CG11594	2.306915044784546	2.920328780726015e-07
CG5835	1.2533706426620483	3.1887333413953504e-07
CG31248	0.5256039500236511	3.2167421309050185e-07
CG31676	0.5557413697242737	3.2386121602987793e-07
sbb	0.3739131689071655	3.4646014821142816e-07
RpLP1	0.0755666047334671	4.382663986048702e-07
CG31751	0.8503341674804688	5.223346899792913e-07
Pdp1	0.25603237748146057	5.516694951262677e-07
Csas	0.5209894776344299	5.951267625372476e-07
Cyp6w1	0.9182979464530945	6.107237381018631e-07
CG42489	1.6849323511123657	7.556091532022699e-07
CG3328	0.8713343143463135	8.147744848998462e-07
CG17841	0.3116818070411682	1.0493282001439607e-06
