gene	avg_logFC	pval
CG14687	7.443013668060303	1.0732380440452794e-271
Fas2	5.97830867767334	1.4316754569123614e-268
CG3168	4.8239359855651855	8.392601903501217e-268
gem	3.3870489597320557	2.0188516807106607e-267
Cys	5.939578533172607	2.559096353965903e-267
CG6126	9.505236625671387	5.2818274835635064e-266
Bsg	4.0524821281433105	1.7792157557268705e-260
Tret1-1	8.876876831054688	2.7599797710923944e-256
CG8034	10.258923530578613	1.8834770790100082e-250
CG42575	5.382745742797852	4.927223746472165e-249
CG8837	9.601235389709473	3.497639424037817e-245
CG10226	8.794002532958984	5.861845450740527e-242
CG5687	9.505162239074707	1.053399650729804e-241
sog	7.367751598358154	2.855521552856462e-241
Dip-B	7.208597183227539	8.192296148017492e-239
Oda	1.8295143842697144	1.715864509729471e-231
nec	8.384902954101562	2.780932406787229e-227
CG10550	5.556196689605713	6.79267687839119e-225
CG9413	5.208340167999268	1.423799357734222e-223
CG6836	9.107773780822754	4.260702068125968e-222
Indy	8.551687240600586	2.7277649683664337e-218
Mdr49	9.037714004516602	5.136383257715399e-215
CG7220	4.4822821617126465	8.954742666381221e-215
CG3961	6.722348690032959	5.1479356262488195e-214
CR43870	9.46377944946289	7.109709213274136e-214
CG6910	9.09328556060791	4.0293195036075456e-213
CG10479	7.936010837554932	1.5489227375780798e-212
lama	7.684957981109619	3.89180783882335e-210
Sirup	3.22365403175354	8.843119891770006e-208
CG34417	6.397301197052002	1.4899353832074031e-206
CG4797	8.645336151123047	1.5641102547381832e-206
Dys	5.71615743637085	4.229367049500484e-206
CG13937	4.9690375328063965	1.2814828754723049e-204
Vha16-1	1.9423601627349854	1.7348617717281687e-203
Vha68-2	4.168407917022705	4.653117335138263e-200
CG8177	4.605388164520264	2.145929849415286e-199
CG5390	5.713020324707031	1.3965001599875833e-197
Hex-A	2.3552558422088623	1.3505562338873135e-195
CG4462	9.175856590270996	1.701359968730909e-195
RpS18	1.3815525770187378	9.73482814242861e-193
CG4991	9.58678150177002	5.7405587183404366e-192
Mdr65	9.43592357635498	5.995656504965645e-192
CG10444	7.138246536254883	2.2565786661104953e-191
CG13907	5.560109615325928	1.4998919878133196e-187
sda	5.933943748474121	2.185126368453317e-185
nrv3	2.9943602085113525	6.064372383653386e-185
scaf	7.912832736968994	9.842999917062916e-185
CG31547	8.438108444213867	2.78725508737846e-180
cv-d	7.9257659912109375	8.49680687914052e-179
CG11665	3.2694551944732666	2.3299035225202308e-178
jdp	2.6158974170684814	5.449707574709049e-178
Vmat	3.9341423511505127	1.0977110485503078e-177
Acon	3.150275707244873	3.345351650818745e-175
crc	2.035421371459961	1.8474565581405358e-174
dve	7.468683242797852	1.7369539019760384e-171
Sdr	9.214543342590332	1.0970261499486432e-169
CG32647	3.9849278926849365	1.3229816541306981e-169
LpR1	4.830024719238281	1.571529991085175e-169
CG9977	4.497814178466797	1.9572890339666085e-168
CG6231	8.032907485961914	1.789466197466364e-167
CG8475	3.489954948425293	8.343916399587868e-166
Pfrx	4.194546222686768	2.134673643698074e-165
stl	9.055608749389648	2.378022056776628e-165
FER	5.139054775238037	4.824947797994885e-165
Tsp42Ed	7.7242960929870605	1.8901308909074672e-164
Snap29	4.792353630065918	2.408007093816838e-160
CG43658	4.05676794052124	5.513661745946508e-160
pdgy	2.5707621574401855	7.007454042169526e-160
CG18522	6.953505992889404	7.099065292520954e-157
CycG	1.7068665027618408	2.513406093202775e-155
CG18622	3.6973836421966553	4.967700249393196e-155
CG4630	7.9986186027526855	3.915480855384343e-154
PRL-1	2.7205374240875244	1.224533339048062e-152
CG10702	9.223280906677246	3.043272880324558e-151
CG2082	4.337226390838623	2.1845365526521253e-148
Ssadh	1.9489216804504395	6.416673793408932e-147
SLC5A11	5.561075210571289	2.429642272159214e-145
cathD	2.1775944232940674	2.878395250855676e-144
CG6574	5.905948638916016	1.7517448164998192e-143
l(2)08717	6.185290336608887	1.7433627717689577e-142
CG7433	2.022752046585083	2.1127426727514734e-142
VhaM9.7-b	2.322396755218506	1.9423338742108344e-141
RpS15	1.102364182472229	1.1036364861446582e-138
CG30118	3.4177541732788086	1.6871772367144114e-138
CG13255	3.5801665782928467	1.7309877911013304e-137
Ef1alpha48D	1.4726324081420898	5.238183307496889e-137
CG4607	8.499500274658203	1.5407066658394885e-136
Vha26	2.0443906784057617	2.71125504455156e-136
CG10184	7.594709396362305	5.428371517138895e-134
CG13004	4.8221845626831055	1.3118902138654533e-133
CG2846	4.517955780029297	1.9437201175734203e-133
CG1746	1.2353615760803223	1.5032903067097108e-132
scf	2.81149959564209	2.122589257455331e-132
asparagine-synthetase	8.60947322845459	4.532306875211145e-132
CG17027	6.018200397491455	3.3092352286498353e-131
