gene	avg_logFC	pval
pros	3.196108341217041	0.0
CG42784	2.399651050567627	0.0
crb	5.941967487335205	0.0
jim	1.3884284496307373	0.0
Eip93F	1.9465467929840088	0.0
Ca-alpha1T	3.372007131576538	0.0
Pde6	3.365990400314331	0.0
qm	2.812633991241455	0.0
Rdl	0.7183489203453064	0.0
CG34362	1.3482322692871094	0.0
Lin29	2.0786848068237305	0.0
5-HT1A	1.9405381679534912	0.0
CG8500	2.3964226245880127	0.0
slo	1.0057377815246582	0.0
Rab27	2.0036544799804688	0.0
Task6	1.7850613594055176	0.0
Rgk2	3.854328155517578	0.0
mtd	1.032286524772644	0.0
CG43729	1.1820428371429443	0.0
CG43759	4.740893840789795	0.0
Ptp99A	1.3864794969558716	0.0
CG31814	3.020081043243408	0.0
GlcAT-P	1.812491774559021	0.0
CG4467	1.3425737619400024	0.0
Fas2	1.58352792263031	0.0
SP1173	5.987414360046387	0.0
CG16779	1.1594502925872803	0.0
Plc21C	1.2282755374908447	0.0
Appl	0.5408377647399902	0.0
Mef2	1.170572280883789	0.0
CG6044	1.4805850982666016	0.0
CG45263	0.8656212687492371	0.0
CG42541	1.1798391342163086	0.0
Tsp66E	3.320322036743164	0.0
CG4577	1.7104735374450684	0.0
GluClalpha	1.352751612663269	0.0
Cks85A	2.51102876663208	0.0
beat-VII	2.2024970054626465	0.0
Oamb	1.9782203435897827	0.0
Rim	0.8233696222305298	0.0
Pde8	2.0848476886749268	0.0
CG33090	3.3405051231384277	0.0
Hsromega	0.7996110916137695	0.0
Mmp2	3.1195271015167236	0.0
Pde9	1.0425357818603516	0.0
pan	0.47074246406555176	7.684373829911413e-288
Octbeta3R	2.924712657928467	3.94384775475405e-284
brp	0.6035492420196533	1.8081788817280513e-273
bol	1.0852974653244019	3.3084996445607417e-264
sda	1.941384196281433	3.3332933885015793e-258
CG11319	0.892961859703064	2.148061701334614e-255
Hs3st-A	1.0326836109161377	9.183632785459577e-242
l(3)neo38	0.8914176225662231	4.6398191429656046e-231
glec	1.3455222845077515	3.311117980431551e-225
kirre	2.5119500160217285	3.016280400514197e-219
CG34384	2.0436594486236572	1.4578836129285457e-216
lbm	5.336397171020508	1.0980651015469518e-215
2mit	1.347433090209961	7.473639038353503e-211
pHCl	0.908990204334259	2.9990417010509084e-205
CG17841	1.1894989013671875	1.1815882858216748e-204
CG42492	0.7883113026618958	4.285243342969963e-204
Pvf3	2.078986883163452	3.293361869885584e-202
Galphao	0.5434101819992065	1.2762522986662142e-200
EcR	1.1530022621154785	2.1843864185556264e-182
DOR	0.9488231539726257	6.854311583563472e-179
CG11191	0.8407634496688843	1.3083181230915058e-177
Tsp42En	5.001672744750977	1.6321921044628875e-174
CG4502	0.825874388217926	4.642366735907132e-169
CG34354	1.1412227153778076	1.1797872585233758e-168
Dscam2	0.6520153880119324	3.6801035986478434e-168
CG32066	1.1043235063552856	2.3455527455047804e-167
A2bp1	0.4419025182723999	6.453435774686287e-167
CG31221	0.6218536496162415	1.2075776762726997e-162
chrb	0.4721163809299469	1.1154177660484554e-161
CG43737	0.7742883563041687	2.5904844691636866e-161
CG31637	2.1510651111602783	2.7205259754033793e-159
KrT95D	0.9643124341964722	3.141670461619994e-159
Nckx30C	0.6009537577629089	5.447327124551238e-156
kug	3.0984416007995605	9.886867543620772e-154
CG4297	1.5418875217437744	3.8103608388512563e-147
Mkp3	0.44370517134666443	1.672601661466064e-141
rgn	1.1886050701141357	4.9992606292171857e-141
Elk	1.2351516485214233	3.8110038061036815e-138
Dyb	1.0086381435394287	9.51902401255629e-137
sals	1.6134718656539917	3.4898347515880316e-135
g	1.490896463394165	2.8519990064563886e-134
ctp	0.2600063979625702	1.3815720749493624e-133
Lmpt	3.40877103805542	6.132961241965945e-131
CG34114	0.6837692260742188	6.911549154100408e-131
ps	0.3000222444534302	2.4257958521052586e-127
CG32547	3.672771453857422	1.0905602818153975e-126
Aats-lys	1.378385305404663	1.2968859624960799e-124
ome	1.9260647296905518	3.693523048206251e-124
CG43444	0.5021826028823853	2.4219943235914105e-123
Nrg	0.7893558144569397	1.3464113786152595e-116
CG1129	1.4666860103607178	1.6805437370792689e-115
ssx	0.8430715799331665	3.574733894160322e-115
Lar	0.46611061692237854	5.777936175796675e-115
Syp	0.5552631616592407	4.610263003774187e-114
CR45312	3.64426851272583	6.090069866129011e-112
scrib	0.7808181047439575	1.7239613381290416e-111
CG7985	1.8167239427566528	1.1132346207778755e-107
CG15628	0.6682049036026001	1.0677941792362323e-106
KCNQ	2.2797863483428955	1.500665176099182e-105
CG17341	1.9627851247787476	4.770007047659054e-102
CG4587	0.4315130412578583	1.6001740816136578e-100
tai	0.7422091364860535	1.7418752287931935e-100
CG32982	2.20967435836792	1.6783914426761597e-94
Dh44-R1	4.164488792419434	2.0653239710287987e-94
CR34335	0.432576447725296	2.6934931160681807e-91
CG15431	1.4977307319641113	2.89071901454175e-91
noe	0.24862448871135712	2.3710944021626422e-90
fend	0.4459485113620758	3.6555248094119194e-88
CG43078	2.0213897228240967	1.16385077716202e-87
Stat92E	0.8909626603126526	2.5436795323117558e-87
Dh44-R2	3.7338337898254395	1.1131530852698668e-86
GC	2.015434741973877	2.885565291685337e-85
HmgZ	0.37572845816612244	1.6042447404390345e-84
Octbeta1R	0.45797717571258545	3.674764714939065e-83
tutl	0.3397233784198761	5.766154979736283e-83
CG34356	0.7440611720085144	1.966935310568128e-82
Jupiter	0.4910322427749634	1.4938660754102069e-81
Ten-a	0.2812897861003876	7.540400794949429e-81
CG33181	0.37908104062080383	8.376757267171255e-81
dac	0.5259032845497131	1.9617834949115686e-78
heph	0.534237265586853	4.479050447442096e-78
Gprk2	0.49659597873687744	1.1502495772271416e-77
l(2)k09913	0.7374687194824219	6.590851289440852e-76
CG12531	0.5833666920661926	4.683466919890223e-75
mAChR-A	0.7507344484329224	6.592550334332311e-75
CG7378	0.49090418219566345	1.1834425216518297e-70
Eip75B	0.2949620187282562	3.502007203388533e-70
para	0.21983519196510315	4.372657108830579e-70
Nep1	0.5145780444145203	9.982498043815831e-70
Lgr1	4.529823303222656	3.7987427552358095e-69
fok	0.5092483162879944	1.3432878837581662e-67
CG10089	1.1742912530899048	4.038627431095602e-67
CG11486	0.4231480062007904	1.0462928615626533e-66
CG31475	2.984191417694092	1.1804860884809297e-66
ventrally-expressed-protein-D	1.8820682764053345	1.5985710930527786e-66
CG15894	0.7929670810699463	4.811563079558574e-66
CG5890	0.5418800115585327	4.73859243920613e-62
pxb	2.0109384059906006	1.778494750432185e-61
CG9932	1.7266911268234253	4.157280508245458e-61
CG13739	0.394420862197876	1.4618836158158756e-57
CG42795	0.7243001461029053	2.3185352115043155e-56
gprs	0.7014378905296326	2.0592820189010154e-55
roX1	0.1560307890176773	6.747611118673608e-55
ftz-f1	0.2835110127925873	1.0090637653633373e-54
