gene	avg_logFC	pval
CG8641	6.296555995941162	0.0
mamo	3.6998350620269775	0.0
Rbp6	2.6310770511627197	0.0
pum	1.1578041315078735	0.0
DAT	5.912683010101318	0.0
nAChRalpha6	1.586395025253296	0.0
chinmo	1.9708940982818604	0.0
norpA	2.701414108276367	0.0
msi	3.630397319793701	0.0
CG7646	1.2753393650054932	0.0
trio	2.1428914070129395	0.0
CG13739	1.4163291454315186	0.0
CG32264	1.3427455425262451	0.0
CG42322	1.8805019855499268	0.0
Hs3st-A	1.6258496046066284	0.0
jdp	0.8419893980026245	0.0
Pka-C3	2.4288530349731445	0.0
Mp	1.8682478666305542	0.0
app	4.239820957183838	0.0
CG42313	1.5024232864379883	0.0
CG6329	0.8648735880851746	0.0
Eip63E	1.968571424484253	0.0
olf413	1.6944420337677002	0.0
igl	1.1309183835983276	0.0
CG10077	0.7942001819610596	0.0
shep	0.6542720794677734	0.0
CG30158	1.4176210165023804	0.0
cmpy	1.9399017095565796	0.0
eys	1.5628553628921509	0.0
CG42613	1.1266034841537476	0.0
CG31191	1.7328416109085083	8.948259411828963e-309
CG34370	2.646246910095215	1.0758112889888284e-308
14-3-3zeta	0.46475550532341003	3.477279836111037e-294
Ace	1.8591388463974	1.2426529725649284e-292
Bsg	0.9436697959899902	3.447315883497868e-290
CG18265	2.307666540145874	3.144275165551527e-278
pigs	1.9713391065597534	1.8562857225413986e-275
nAChRalpha7	1.6737781763076782	2.3059247849928973e-258
oaf	2.4501657485961914	2.6750431929502472e-244
Pkc98E	0.9258946180343628	2.5540180980726768e-238
Nhe2	1.3878363370895386	3.3915332025304994e-238
Lac	5.916184425354004	2.6272120588859262e-229
CG42817	1.5762948989868164	3.0908554116557456e-229
Dhit	0.8978548645973206	3.690055615797195e-226
CG1746	0.6450809836387634	1.422964176170581e-214
Idh	2.6349501609802246	6.281475293762062e-209
CG7337	1.4511457681655884	2.7806894598499544e-203
fok	1.172164797782898	9.893318343260517e-203
CG34380	3.250142812728882	2.264166194466532e-199
dlg1	0.6406423449516296	6.299808854190232e-194
CG42788	1.3301738500595093	8.572433855401903e-192
Epac	2.4563114643096924	9.397064050942519e-189
corto	1.0815753936767578	1.9107804942036368e-187
Fili	4.643374443054199	1.4978102695998308e-185
CG42392	0.9173107147216797	1.9141075428204417e-184
CG5065	1.1829420328140259	4.377588792062652e-182
CG42342	1.3161535263061523	2.543187565203264e-181
CG18812	0.7915657162666321	1.3002371717428796e-177
Dscam3	2.6903882026672363	7.90416021094636e-174
RhoGDI	0.9850496053695679	7.992458544458815e-169
tok	2.304903268814087	4.705000273656318e-168
CG3961	3.0929269790649414	1.1587361796965161e-166
RapGAP1	1.7354109287261963	1.8596340122539922e-164
CG8248	1.8944870233535767	4.797176294966222e-162
porin	0.7936121225357056	5.747754042177308e-162
CG42750	1.2206666469573975	1.4936784526877491e-161
B4	1.350018858909607	5.256781025270483e-159
sesB	0.6157066822052002	1.3574844718491173e-158
Drl-2	2.0380377769470215	1.2653855695084681e-157
CoVIb	0.7337890267372131	1.3774921618878694e-156
Ih	0.7707417607307434	6.821626256101625e-154
X11Lbeta	1.197541356086731	9.944526428308771e-153
CG43658	1.4707019329071045	3.0630411573455498e-149
Gycbeta100B	1.6584744453430176	7.894330291817242e-148
dpr8	0.8344265222549438	2.494911056876083e-145
hdc	1.3185555934906006	8.906606755218794e-142
CG3655	3.8564682006835938	1.0025151959218066e-140
bun	0.5197123289108276	5.5668961579626625e-140
Ccn	1.4841471910476685	5.824624459448614e-138
Cyt-c-p	0.7645108103752136	2.087254898329846e-137
CoVIII	0.781447172164917	1.1808662833952878e-136
Fife	0.832326352596283	1.4994123747755455e-136
Mical	1.3073804378509521	6.775129644599302e-136
Tsp42Ej	0.9352177381515503	1.7509399750508755e-134
bru-3	0.44005128741264343	3.671699874973039e-134
px	1.0676485300064087	3.1109837738239343e-128
GstD1	1.2765450477600098	1.3931926583021655e-125
SK	0.9047505259513855	8.38087832495848e-124
CG32052	2.422226667404175	1.8663232440195867e-123
CG4692	0.6626073122024536	5.9751611209789136e-123
nAChRbeta1	0.5047742128372192	8.058269564521148e-120
CoVIIc	0.7696793675422668	1.4177593935364962e-119
CG31808	1.0782743692398071	1.251542893297327e-118
rhea	1.4576749801635742	2.913551827323796e-116
fne	0.46187958121299744	4.8404617188666876e-116
CG1358	1.7841579914093018	3.917167882092128e-115
Dyb	1.1456340551376343	8.680998396513915e-115
CG42575	0.930977463722229	7.625743074403861e-113
CG34355	1.2753053903579712	1.1195209951382058e-112
mam	1.1725412607192993	2.122358506706724e-112
cno	1.6688346862792969	1.5812262537453233e-109
CG1688	1.5267632007598877	2.045863108439817e-109
psq	0.7440383434295654	5.187622510530357e-109
kek1	0.9224063158035278	7.173832712192801e-109
