gene	avg_logFC	pval
ab	5.154550075531006	0.0
GstD11	5.050225257873535	0.0
fru	3.053990125656128	0.0
Imp	2.913233518600464	0.0
CG32204	2.1565799713134766	0.0
CG42402	1.8514430522918701	0.0
kuz	1.8787758350372314	0.0
Cngl	1.3035162687301636	0.0
dnc	0.9353906512260437	0.0
Pka-R1	1.4519697427749634	0.0
sNPF	1.9985119104385376	0.0
Act5C	1.1089115142822266	0.0
CG33543	2.5721492767333984	0.0
Pka-C3	2.6802618503570557	0.0
scrt	1.187931776046753	0.0
CG32506	3.120039939880371	0.0
Sdc	1.3678410053253174	0.0
CG34127	1.0748364925384521	0.0
CG18208	2.0289714336395264	0.0
zfh2	2.9048922061920166	0.0
chic	1.417578935623169	0.0
Ddc	1.7974902391433716	0.0
CG43658	2.1396851539611816	0.0
CG17816	0.8370937705039978	0.0
cpx	0.4803226888179779	0.0
CG13055	2.8767049312591553	0.0
mGluR	1.9253220558166504	0.0
CG32647	1.5421338081359863	0.0
kek1	1.2885957956314087	0.0
CG32700	0.8483679294586182	0.0
mamo	3.472090721130371	0.0
Con	1.1619737148284912	0.0
Spn	0.9371676445007324	0.0
Pka-R2	0.6263120174407959	0.0
rut	0.7294844388961792	0.0
nAChRalpha6	1.0615205764770508	0.0
klg	1.2399595975875854	0.0
Pka-C1	0.446199506521225	0.0
Ggamma30A	0.5563496947288513	1.2535281624619783e-305
sty	2.160144090652466	7.6817788528293e-297
cmpy	1.624060034751892	1.3279473004212804e-292
Rbp6	1.827426791191101	1.3683479316368968e-270
Sema-1a	0.8759058713912964	1.0566930999554821e-269
ed	2.218052864074707	3.3708330605804397e-269
CG15765	0.9134530425071716	2.2216062530708093e-255
dlp	4.046030521392822	1.0123757518609006e-244
mgl	1.451346755027771	3.814113758375031e-243
Mical	1.4501310586929321	6.665478421385067e-240
CG9801	2.6286404132843018	1.0771343879579831e-236
klar	1.2721608877182007	8.444327092085475e-234
Trpm	1.6069129705429077	4.042128281439163e-232
CG3726	1.7439792156219482	1.3099380229298656e-227
dpr12	0.8638931512832642	1.0145007664924074e-226
Dop1R1	0.7629097104072571	6.514005828524672e-225
gish	0.6709104776382446	5.359693223497598e-224
CG34402	1.1913269758224487	1.8814780563740975e-216
CG42817	1.3019236326217651	9.603132609612519e-216
PH4alphaNE1	3.173529863357544	1.634746500628557e-215
5-HT1B	1.565484881401062	6.256024661297754e-215
rdgA	1.359033226966858	1.2170838571218786e-213
