gene	avg_logFC	pval
CG3164	1.636262059211731	0
MFS3	2.75156307220459	9.999999974752427e-7
CG7420	1.5968519449234009	9.999999974752427e-7
CG3165	1.5117019414901733	0
CG3277	1.9584170579910278	0.000022000000171829015
slp1	4.4590630531311035	0
slp2	4.30845308303833	0
Marcal1	1.855705976486206	0.004131999798119068
CG31646	1.710953950881958	0
Pvr	1.776831030845642	0.0003699999942909926
Mtpalpha	1.8899860382080078	0
CG4901	1.5093779563903809	0.01546700019389391
gny	1.8026570081710815	0.0008479999960400164
CG6201	1.6579710245132446	0
salr	2.0578598976135254	0
salm	2.2861580848693848	0
JhI-21	6.433268070220947	0
nub	3.5276570320129395	0
pdm2	3.429650068283081	0
CG5780	2.4291040897369385	0.03581399843096733
dac	-2.151789903640747	0.013476000167429447
CG13284	2.4199910163879395	0
CG17597	3.40283203125	0.00015199999324977398
CG10650	2.4070780277252197	0.002274000085890293
Ddc	2.856029987335205	0
CG17544	1.657757043838501	0
bsh	2.5147879123687744	0.0008360000210814178
pr	1.660470962524414	0
tsh	2.2093169689178467	0.00015100000018719584
tio	1.843891978263855	0
CG34137	2.030056953430176	0.0034580000210553408
ap	1.6655069589614868	0.0005520000122487545
Gadd45	1.8348100185394287	0
CG1707	2.3265600204467773	0
CG2269	2.346374034881592	0
stan	2.0134429931640625	0
CG7637	1.9635930061340332	0
CG30022	1.5334919691085815	0
inv	4.227350234985352	0.00026500000967644155
en	4.332121849060059	0.0017170000355690718
Vmat	8.50890064239502	0
CG13330	6.091203212738037	0.0004910000134259462
CG6145	1.5828310251235962	0
tej	1.9616559743881226	0.04529599845409393
Arc2	2.6596899032592773	0.000028000000384054147
AttA	3.8408379554748535	0.00007899999764049426
AttB	3.3274741172790527	0.03206900134682655
CngA	2.1567599773406982	0.000014999999621068127
5-HT1A	2.1588211059570312	0
CR44628	2.5245258808135986	0
Nnf1a	1.629963994026184	0.002019000006839633
Magi	1.9362540245056152	0
Pu	3.7364819049835205	0
CR42547	1.6447980403900146	0.031947001814842224
CngB	1.8410470485687256	0
CG30403	1.6996829509735107	0.029582999646663666
CG13502	1.7645930051803589	0.013144000433385372
CG13531	1.5252710580825806	0.006852999795228243
Pal2	1.6147040128707886	0
egl	1.6172399520874023	0
nord	1.8695729970932007	0
SerT	9.931132316589355	0
CG3608	1.8367340564727783	0.004559999797493219
lov	1.5157010555267334	0.000610999995842576
Kr	2.6865038871765137	0
CG13894	1.5003950595855713	0.00011600000289035961
Trh	9.802578926086426	0
SCOT	2.155561923980713	9.999999974752427e-7
CG1275	2.454569101333618	0
loj	1.5643359422683716	0
Dscam2	-1.6712720394134521	0
exex	3.3301188945770264	0.00009899999713525176
Dhpr	2.1858339309692383	0
Hsp23	2.437403917312622	0
CG6310	1.646409034729004	0.009726000018417835
Pallidin	1.7753629684448242	0
CG8745	-1.543637990951538	0.03615900129079819
Sytbeta	2.0716350078582764	0
CG32147	1.5961170196533203	0
CrebA	1.8396819829940796	0.000014000000192027073
CG5535	2.658637046813965	0.0021460000425577164
HipHop	1.815430998802185	0
CG32204	1.804563045501709	0
CG14075	4.3227338790893555	0.0013170000165700912
CG42674	1.717326045036316	0
jim	-1.55718994140625	0
CG33169	1.5311249494552612	0
CG40467	2.2842049598693848	0.000007000000096013537
CG15831	1.967985987663269	0
CG40155	2.0008530616760254	0
CG41518	2.1184489727020264	0.0000019999999949504854
CG42623	1.978605031967163	0
CG41281	1.555521011352539	0.045499999076128006
CG1041	1.7732659578323364	0.00003400000059627928
CD98hc	1.7702850103378296	0
CG2767	2.050477981567383	0
CG8036	1.5633599758148193	0
nerfin-2	4.036811828613281	0.00016999999934341758
CG14695	3.424787998199463	0.000019999999494757503
CR43283	-2.4149370193481445	0.0001880000054370612
pros	-3.1025099754333496	0
CG5281	1.5948630571365356	0
CG42327	1.5214879512786865	0.0018990000244230032
CG14715	1.6092569828033447	0
Cad87A	1.835494041442871	0
svp	1.719704031944275	0.003782999934628606
sim	3.5689539909362793	0.00039599998854100704
CG9796	2.113176107406616	0.00013600000238511711
CG8066	2.288187026977539	0
CG45218	2.086380958557129	0.013279000297188759
Gyc-89Da	3.0170140266418457	0.00009200000204145908
Gyc-89Db	1.7567689418792725	0.0000779999973019585
Dscam3	2.514228105545044	0
CR45223	2.113679885864258	0.000783999974373728
Lgr1	2.447252035140991	0.0000019999999949504854
CG7708	-2.3554298877716064	0
VAChT	-2.7340168952941895	0
Cha	-2.402621030807495	0
Xrp1	1.6291110515594482	0
Arc42	2.5343520641326904	0
Oamb	2.065725088119507	0
CG12278	4.514470100402832	0.00139999995008111
