gene	avg_logFC	pval
l(2)gl	3.678723096847534	0
Cda5	-3.43430495262146	0
Sam-S	-2.2687020301818848	0
Gs1	-2.3874568939208984	0
CG31974	4.035736083984375	0
CG11454	-1.5408780574798584	0
CG42399	-3.5195159912109375	0.00005999999848427251
CG17075	-3.3061439990997314	0
smo	-1.5124059915542603	0.045816998928785324
CG11601	-1.7206590175628662	0
CG3625	-2.393354892730713	0
Plc21C	-2.7823379039764404	0
CG4133	-2.7738089561462402	0
CG4297	2.250972032546997	0
GABA-B-R3	-2.8604159355163574	0
CG3876	-1.6966300010681152	0
Clp	-1.6594330072402954	0.047793999314308167
CG3662	-2.052175998687744	0
dock	-2.1856179237365723	0
CG4341	-2.90132999420166	0
IA-2	-2.7336320877075195	0
S	2.5448899269104004	0
Pino	3.646228075027466	0
CG4577	-1.535959005355835	0
CG4887	-1.6950279474258423	0
CG4896	-1.5907740592956543	0
Tgt	-2.392400026321411	0.008222999982535839
robo3	-3.096626043319702	0
lea	-3.3902881145477295	0
haf	-3.3119540214538574	0
chinmo	-4.355044841766357	0
CG17660	-1.532932996749878	0
mRpL48	-2.5160300731658936	0
Eno	1.849802017211914	0
CG31937	2.3697710037231445	0.0011060000397264957
CG17646	-1.5032780170440674	0
wry	-2.906738042831421	0
CG31663	1.506667971611023	0
CG15356	-1.5439079999923706	0
Got2	1.8306610584259033	0
Npc2a	1.576746940612793	0
CG33543	-3.1669259071350098	0
CG4238	-2.316904067993164	0
dpr3	-3.483963966369629	0
AIF	-2.1109259128570557	0.0000019999999949504854
CG15382	-1.738777995109558	0.02091200090944767
CG10874	-1.5132850408554077	0
papi	-1.7675420045852661	0.000009000000318337698
eys	-3.613908052444458	0
Axud1	-2.002549886703491	0
CG15390	-2.497809886932373	0.0009309999877586961
oaf	-1.6978750228881836	0
Drp1	-1.7827060222625732	0
CG31690	-2.147986888885498	0
Syt1	-3.6985809803009033	0
daw	4.2495808601379395	0.029606999829411507
G6P	-2.4958760738372803	0
CG3104	-1.6986969709396362	0
CG8814	-1.6337029933929443	0
Rbp9	-2.9129269123077393	0
Rrp1	-3.1366870403289795	0.000003999999989900971
gammaTub23C	-2.016835927963257	0
alpha4GT1	-1.6032520532608032	0
CG3542	-1.783831000328064	0
GABPI	-2.296199083328247	0
CG3523	-1.7991299629211426	0
toc	-2.1713459491729736	0
gkt	-1.6220699548721313	0.000003999999989900971
CG34393	-2.3951690196990967	0
E23	5.000671863555908	0
CG34394	-1.5761239528656006	0
pgant2	-2.9685399532318115	0
Thor	2.9792098999023438	0.0365540012717247
tim	3.9771840572357178	0
for	3.0434861183166504	0.00010800000018207356
CG34340	2.5566599369049072	0
CG2818	-1.5874359607696533	0
Shaw	-2.8827550411224365	0
CG10019	-3.6553421020507812	0
CG43707	-3.0794661045074463	0
Reph	-2.3522090911865234	0
Cep97	-2.426584005355835	0
fred	-3.044663906097412	0
ed	-3.2797749042510986	0
CG31961	-2.1288890838623047	0
tutl	-3.851062059402466	0
CG16857	5.588324069976807	0
CG15431	-3.581207036972046	0
morgue	-2.2013089656829834	0
ine	4.104740142822266	0
CG34351	-2.71069598197937	0
CG15630	1.7244880199432373	0
CG15628	-3.241786003112793	0
CG12194	-2.9022018909454346	0
mRpS2	-1.7103480100631714	0
pog	-3.669287919998169	0
hoe1	2.4740118980407715	0
hoe2	-2.6110219955444336	0.000022000000171829015
l(2)05714	-1.9557850360870361	9.999999974752427e-7
Rtnl1	-2.087064027786255	0
CG31650	-1.7131659984588623	0
CG9121	-3.8243889808654785	0
qtc	-2.738571882247925	0
CG4230	-2.513256072998047	0
Cyp28d1	4.029208183288574	0
vri	1.7695080041885376	0.03369800001382828
CG14024	-2.8273348808288574	0
CG12512	3.959739923477173	0.0028379999566823244
CG14015	-3.9710919857025146	0
Lam	-1.6413060426712036	0
CG14010	-3.005225896835327	0.00004600000102072954
CG31646	-2.529910087585449	0
CG11030	-2.7978880405426025	0
CG9171	-2.043329954147339	0
TrissinR	-2.6149659156799316	0
bchs	-1.7925410270690918	0
CG13999	-3.604166030883789	0
CG9098	-3.5042920112609863	0
slmo	-1.6357769966125488	0
CG9135	-1.8479199409484863	0
CG13995	-3.3802099227905273	0
CG9175	-1.892109990119934	0
stai	-3.3407580852508545	0
CG34380	-2.9070351123809814	0
