gene	avg_logFC	pval
CG31974	2.4882869720458984	0.000012000000424450263
CG31663	3.237504005432129	0
Npc2a	3.0083279609680176	0
Hydr2	1.7653700113296509	0
E23	3.3224620819091797	0.00011100000119768083
CG16857	2.0893640518188477	0
hoe1	2.7604050636291504	0
Cyp28d1	2.6049599647521973	0
Cyp4ac3	6.327992916107178	0.000009999999747378752
ifc	1.5059260129928589	0.04646800085902214
CG9507	2.684669017791748	0
Spn27A	3.4362831115722656	0.02357099950313568
nrv2	2.8986120223999023	0
santa-maria	3.1186509132385254	0
Tep2	4.023386001586914	0.005632000043988228
CG33296	8.310124397277832	0
CG7149	1.532384991645813	0.004176000133156776
CG13397	4.419370174407959	0.020440999418497086
Akap200	1.5618289709091187	0
Aldh	2.852170944213867	0
CG13124	1.8764630556106567	0.000048999998398358
LM408	3.3535709381103516	0.0004149999876972288
CG6287	2.9448540210723877	0
CG31705	1.5482560396194458	0
CG31706	3.278820037841797	0
CG14945	1.7935290336608887	0
Oatp33Ea	4.6349778175354	0.024490000680088997
Vha68-2	2.054953098297119	0.04506999999284744
Cyp28a5	1.7517499923706055	0
Idgf3	3.218338966369629	0
CG5758	1.7262630462646484	0
Irk3	3.9584178924560547	0
CG17544	2.24114990234375	0.000011000000085914508
CG2493	2.870349884033203	0.0020469999872148037
Cyp6w1	3.2493200302124023	0
Ptr	3.0034430027008057	0.014971000142395496
CG3270	6.4820637702941895	0
CG9436	2.002485990524292	0.002125999890267849
Tsp42Ea	3.2289209365844727	0.004114000126719475
Tsp42Ef	2.7860970497131348	0.00001700000029813964
Spn43Ab	1.7542120218276978	0.000004999999873689376
CR45131	4.92179012298584	0
Obp44a	4.959873199462891	0
Mal-A5	3.7519419193267822	0
Cyp6a13	1.8569350242614746	0.03657900169491768
ana	3.317056894302368	0
Hydr1	1.663437008857727	0.0008730000117793679
ced-6	2.5372040271759033	0
CG12926	2.0991690158843994	0.00015799999528098851
gem	2.273926019668579	0
CG12338	1.6558510065078735	0.014560000039637089
Sod3	1.828052043914795	0
Ef1alpha48D	1.7868330478668213	0
CG8839	2.4025590419769287	0.0006430000066757202
Dh44-R2	1.9352999925613403	0.0021800000686198473
nemy	1.8483649492263794	0.024963000789284706
CG42663	2.3749639987945557	0.000003999999989900971
Dh31-R	1.5765630006790161	0.0075889998115599155
CG6357	2.9573988914489746	0
CG6543	2.3754100799560547	9.999999974752427e-7
CG30069	2.684601068496704	9.999999974752427e-7
CG8547	3.6955020427703857	0.01016599964350462
Zasp52	3.92999005317688	0.02727299928665161
CG7997	7.057328224182129	0
CG4409	2.195012092590332	0
Picot	2.68145489692688	0
CG5210	4.853241920471191	0.000004999999873689376
fat-spondin	3.389194965362549	0.012391000054776669
GstE1	1.9595520496368408	0.00006399999983841553
GstE2	1.9461499452590942	0
GstE6	2.603549003601074	0.00037900000461377203
List	2.66253399848938	0
Jabba	5.954699993133545	0.032846998423337936
CG15098	1.8364930152893066	0
Jheh1	3.3092238903045654	0.000004999999873689376
Jheh2	2.65195894241333	0.000011000000085914508
Jheh3	2.624603033065796	0.00023299999884329736
Treh	2.214827060699463	0
Lapsyn	2.868040084838867	0.027219999581575394
CG4302	4.087245941162109	0
Fkbp14	1.8373949527740479	0.0399399995803833
CG10433	3.5169379711151123	0
CG30285	3.0797219276428223	0
Oatp58Dc	3.083293914794922	0
wrapper	7.635605812072754	0
CG2852	2.6132659912109375	0
