gene	avg_logFC	pval
l(2)gl	3.8165040016174316	0
Cda5	-2.3960049152374268	0
Nhe1	-1.5213810205459595	0.00011899999663000926
Sam-S	-2.1978259086608887	0
CG3164	2.320578098297119	0
Gs1	-2.3888111114501953	0
CG31974	4.301750183105469	0
CG42399	-2.403589963912964	0.0065830000676214695
CG3645	-1.708050012588501	0.012241000309586525
CG17075	-2.4761240482330322	0
CG11601	-2.079633951187134	0.000014000000192027073
Plc21C	-2.222965955734253	0
ebi	-1.5763850212097168	0
CG4133	-3.3177781105041504	0
CG4297	1.802765965461731	0
GABA-B-R3	-2.7334818840026855	0
Saf6	-1.7170180082321167	0.023125000298023224
CG3876	-1.7041419744491577	0
dock	-2.064342975616455	0
kraken	-1.630892038345337	0
CG4341	-2.7580161094665527	0
IA-2	-2.819960117340088	0
S	1.909242033958435	0
Pino	3.0494680404663086	0
robo3	-3.1417620182037354	0
NLaz	-1.988105058670044	0.00015999999595806003
lea	-3.871201992034912	0
haf	-3.539093017578125	0.000003000000106112566
chinmo	-4.13963508605957	0
mRpL48	-1.8837640285491943	0
CG31937	2.525038003921509	0.00011300000187475234
wry	-2.7555549144744873	0
CG31663	5.341162204742432	0
erm	2.0681838989257812	0.00012599999899975955
Npc2a	4.036734104156494	0
CG33543	-3.3589088916778564	0
CG4238	-2.261975049972534	0
dpr3	-2.5982820987701416	0
aop	1.7840989828109741	0
CG10880	-1.753890037536621	0.028464000672101974
eys	-3.2083799839019775	0
CG15390	-1.784127950668335	0.028875000774860382
Eogt	-1.8195849657058716	0.045552000403404236
VGlut	-1.593309998512268	0
oaf	-1.5689209699630737	0
CG31689	4.639369964599609	0
colt	2.1498680114746094	0
CG2862	2.4464240074157715	0
Syt1	-3.6713099479675293	0
G6P	-2.999488115310669	0.00003300000025774352
CG3104	-2.940006971359253	0
Rbp9	-2.9973580837249756	0
Rrp1	-2.750878095626831	0.0009040000149980187
GABPI	-2.2012219429016113	0
cnir	-2.029366970062256	0.0010450000409036875
CG3523	1.7817859649658203	0
gkt	-1.7413179874420166	0.0008040000102482736
CG34393	-3.216568946838379	0.000037000001611886546
CG9664	4.9980387687683105	0
E23	4.784294128417969	0
pgant2	-3.06558895111084	0
Thor	4.397878170013428	0
tim	4.309150218963623	0
for	4.153794765472412	0
CG34340	2.2350170612335205	0
Shaw	-3.1516520977020264	0
CG10019	-2.692349910736084	0
CG43707	-3.11171293258667	0
Reph	-2.228239059448242	0
Cep97	-2.3948440551757812	0
fred	-3.0128068923950195	0
ed	-2.6331229209899902	0
CG31961	-2.020643949508667	0
tutl	-3.884221076965332	0
CG16857	4.052011966705322	0
Atet	-2.556061029434204	0
CG3338	-2.1384239196777344	0.00011999999696854502
CG15431	-3.075485944747925	0
morgue	-1.5619850158691406	0
MFS18	-1.6382399797439575	9.999999974752427e-7
ine	3.923264980316162	0
CG34351	-3.109102964401245	0
CG15630	2.4235780239105225	0
CG15628	-3.436378002166748	0
CG12194	-3.1127490997314453	0
pog	-3.567962884902954	0
hoe1	4.064766883850098	0
Scox	-1.6465890407562256	0
l(2)05714	-2.117746114730835	0.00015199999324977398
CG8892	-1.516564965248108	0.004809000063687563
Rtnl1	-2.4432179927825928	0
vkg	3.8358139991760254	0
Cg25C	4.050903797149658	0
CG31650	-2.067949056625366	0
CG9121	-3.321721076965332	0
His3.3A	-1.7386380434036255	0
qtc	-2.630124092102051	0
CG4230	-2.5358970165252686	0
Cyp28d1	3.6285860538482666	0
tkv	3.243983030319214	0
vri	4.007914066314697	0
CG14024	-2.7786519527435303	0
CG12512	4.748720169067383	9.999999974752427e-7
CG14015	-3.0027740001678467	0
CG14010	-2.208873987197876	0.007906000129878521
CG31646	-3.0510900020599365	0
CG11030	-2.6278159618377686	0
CG9171	-1.5874160528182983	0
CG7239	-1.658053994178772	0.000291000003926456
TrissinR	-2.8683528900146484	9.999999974752427e-7
bchs	-1.7755080461502075	0
CG13999	-4.319255828857422	9.999999974752427e-7
ifc	1.5473300218582153	0.000019999999494757503
lid	-1.6405479907989502	0
CG9098	-2.38350510597229	0
slmo	-1.506780982017517	0
CG13995	-2.8205249309539795	0
CG9175	-1.742300033569336	0.000037999998312443495
stai	-3.3936619758605957	0
Ddr	-2.949470043182373	0
CG9486	4.48252010345459	0
Cpr	1.859637975692749	0
CG9507	5.639200210571289	0
CG13982	-2.3885231018066406	0
Tig	6.8412299156188965	0.029694000259041786
CG9527	-2.8267951011657715	0.012098999693989754
CG16947	3.5216619968414307	0
mmy	-1.7297279834747314	0
CG31638	-1.7195119857788086	0
CG9547	3.3254759311676025	0.016235999763011932
Ent2	1.5273089408874512	0.025713000446558
CG13766	-1.639685034751892	0.00011100000119768083
CG11319	-3.5962820053100586	0
Spn27A	3.9372100830078125	0
CG11221	-2.577730894088745	0
CG17378	-3.3651089668273926	0
nrv2	4.822840213775635	0
Rca1	-1.8147809505462646	0.00020199999562464654
Nlg2	-3.6282548904418945	0
Wee1	-2.162200927734375	0
x16	-2.159640073776245	0
Gas41	-1.8243809938430786	9.999999974752427e-7
SA	-1.6139919757843018	0.003745999885722995
ade3	4.030355930328369	0.0004949999856762588
CG11266	-1.5410009622573853	0
Mnn1	-2.1537880897521973	0
Pvf3	-2.8293049335479736	0
CG4497	-1.7420109510421753	0.000029999999242136255
ico	-1.532554030418396	0.00004199999966658652
Ndae1	-2.9436709880828857	0
Wnt4	-2.3511641025543213	0.03338899835944176
santa-maria	4.569454193115234	0
Slob	-2.9240849018096924	0
CG7149	2.285517930984497	0
CG14535	-2.853050947189331	0
CG7231	-2.77455997467041	0
Sirup	2.9930689334869385	0
Wwox	1.7777210474014282	0.000018999999156221747
CG12560	2.720026969909668	0.007675000000745058
Trf	-1.7343989610671997	0.01131999958306551
Bsg	-2.0101099014282227	0
Scgalpha	-3.1587560176849365	0
CG7818	-2.6145761013031006	0.04292500019073486
CG7810	-1.5348520278930664	0.0003539999888744205
CG14274	-2.989084005355835	0.01867000013589859
CG7627	-1.8830920457839966	0.0004889999981969595
CG13397	3.655385971069336	0.010935000143945217
fu12	1.5245599746704102	0.048523999750614166
Acer	-2.4006359577178955	0.0019099999917671084
PrBP	-1.866760015487671	0
Hnf4	5.191678047180176	0
SoxN	-2.7468459606170654	0
CG31708	-2.895488977432251	0.0005280000041238964
CG13108	-3.4465889930725098	0
Ggamma30A	-3.095634937286377	0
Eaat1	1.962272047996521	0
Shawl	-3.1375820636749268	0
Aldh	3.870518922805786	0
numb	-2.7727110385894775	0
CG33298	-1.7672350406646729	0
jp	-2.5838398933410645	0
CG3838	-1.948762059211731	0
Mtpalpha	2.1711769104003906	0.00003600000127335079
Apoltp	-3.6575241088867188	0.012400999665260315
CG31710	4.591073989868164	0
Nckx30C	-3.4305520057678223	0
nAChRalpha6	-3.848773956298828	0
FKBP59	-1.5608400106430054	0
Uhg2	-1.5284600257873535	0.002756000030785799
CG13124	3.0033459663391113	0
yip2	2.737947940826416	0
CG4598	2.25616192817688	9.999999974752427e-7
CG4592	3.876410961151123	0.0016509999986737967
CG31712	-1.5108859539031982	0
Dref	-1.8132139444351196	0.0001610000035725534
CR13130	4.772918224334717	0.00004999999873689376
CG44153	-2.6167380809783936	0
CG5708	-1.9311280250549316	0
bsk	-2.243119955062866	0
Ror	-3.221281051635742	0
Cdk5alpha	-3.024009943008423	0
CG5375	-2.9118781089782715	0
CG5022	-3.0924699306488037	0
rho-5	-2.6968259811401367	0
dpr19	-3.1871120929718018	0
Mdh1	2.469357967376709	0
CG5337	-2.7344930171966553	0
CG13142	-1.6156959533691406	0.018337000161409378
LM408	4.203338146209717	0
Trim9	-2.547441005706787	0
CG6443	-1.6831120252609253	0
CG12299	-3.308661937713623	0
CG17124	-3.110692024230957	0
CG6495	-2.1339049339294434	0
CG31869	4.246260166168213	0
Nos	-2.6194119453430176	0.00002700000004551839
dpr2	-2.482938051223755	0
CG16743	3.800107002258301	0
CG12253	-2.482697010040283	0.000003000000106112566
CG16854	-3.5426011085510254	0
CG6201	-2.9099020957946777	0.025713000446558
Csl4	-2.809645891189575	0.000007000000096013537
CG4751	-1.7337960004806519	0.00009999999747378752
CG6287	3.631005048751831	0
Ca-beta	-3.127573013305664	0
CG33695	-1.752771019935608	0.00047500000800937414
salr	-2.607379913330078	0.00005199999941396527
CG31705	4.378158092498779	0
CG31706	5.575277805328369	0
kek2	-3.4312078952789307	0
Pde1c	-3.1105198860168457	0
Qtzl	-1.6535520553588867	0
Tom70	-2.0606000423431396	0.000003999999989900971
CG6770	1.9330799579620361	0
CG14945	4.700655937194824	0
CG14946	-2.22078800201416	0.000019999999494757503
CG6712	-1.5292609930038452	0.010501000098884106
Patsas	-3.246782064437866	0
CG31760	-2.7620060443878174	0
aret	-3.492685079574585	0
vir-1	4.870761871337891	0
PICK1	-1.939242959022522	0
CG6180	1.5198370218276978	0
kek1	-3.3569140434265137	0
Vha68-2	2.876610040664673	0
Vha68-1	-2.600435972213745	0
CG9932	2.626081943511963	0
kek4	-2.4468181133270264	0
CG5705	-2.11651611328125	0.0014939999673515558
CG16812	-1.7631369829177856	0
Drep-4	-2.196336030960083	0
Uvrag	-1.60493004322052	0.0005840000230818987
CG43778	-2.8602960109710693	0
CG9395	-2.8712470531463623	0
Nnp-1	-1.661067008972168	0
loqs	-2.197638988494873	0
CG42784	-3.220470905303955	0
CG43850	-4.498297214508057	0
CG31814	-2.855041980743408	0
CG9008	-2.1489009857177734	0.00042299999040551484
p38b	-1.5761619806289673	9.999999974752427e-7
CAH1	3.8268840312957764	0
CG16865	-1.9454779624938965	0.0034580000210553408
CenG1A	-2.264486074447632	0
Cyp28a5	3.588783025741577	0
nAChRalpha5	-4.093094825744629	0
CG17341	-2.6028780937194824	0
CG33090	-2.3582680225372314	0
elB	-1.5166269540786743	0
CR43411	4.404294013977051	0.00407399982213974
Adh	4.887837886810303	9.999999974752427e-7
CG42313	-3.758111000061035	0
mol	3.495939016342163	0.0047160000540316105
GABA-B-R1	-4.107746124267578	0
CG33310	-5.520537853240967	0.017514999955892563
CIAPIN1	-1.8219209909439087	0.005803999956697226
Su(H)	-2.285707950592041	0
ck	3.962090015411377	0.0005629999795928597
vig	-1.9032820463180542	0
CG15270	-2.617263078689575	0
stc	-1.5631459951400757	0.004896999802440405
CG4168	-2.595890998840332	0
dao	-3.5599770545959473	0
kek3	-2.7424728870391846	0
CG4587	-3.6484620571136475	0
CG3793	-1.8685120344161987	0
beat-Ib	-3.4996089935302734	0
beat-Ic	-3.531083106994629	0
beat-Ia	-3.3199360370635986	0
Ca-alpha1D	-3.2715818881988525	0
CG42817	-2.4601891040802	0
CaBP1	-1.5351279973983765	0
CG5888	3.792965888977051	0
Idgf3	4.295837879180908	0
dac	-2.495059013366699	0
grp	-2.8601300716400146	0
CG31808	-1.763558030128479	0
CG17928	4.162477970123291	0.018286999315023422
Ugt36Bc	4.01862096786499	0
mdy	5.402565956115723	0
CG31739	-1.6139140129089355	0
CG13284	-4.473803997039795	0.00016599999798927456
CG12288	-3.3024380207061768	0.019291000440716743
beat-IIIb	-3.5060999393463135	0
Rpb11	-1.6518219709396362	0
BicD	-1.701045036315918	0
