gene	avg_logFC	pval
CG3164	1.6838359832763672	0
CG4297	1.904041051864624	0
CG7420	1.500864028930664	0
VGlut	2.5600409507751465	0
CG3165	1.6389319896697998	0
CG3523	1.8838820457458496	0
Marcal1	2.2957921028137207	0.0005089999758638442
CG14024	1.5844670534133911	0
CG31646	1.8687360286712646	0
CG9117	2.9639830589294434	0.0009490000084042549
stai	1.6257649660110474	0
sens-2	3.4026379585266113	0
Pvf3	-1.7170909643173218	0
CG13384	1.6567269563674927	0
SoxN	1.6673309803009033	0
Mtpalpha	1.856863021850586	0
Apoltp	1.656677007675171	0.00001700000029813964
CG4598	1.5188449621200562	0
CG5355	1.5034810304641724	0
CG6201	2.0283539295196533	0
JhI-21	5.441997051239014	0
CG5780	2.884891986846924	0.006905999965965748
Vha68-1	1.6152980327606201	0
CG31849	1.5768979787826538	0
CG42313	-1.5680580139160156	0
beat-Ic	-1.8630820512771606	0.000003000000106112566
dac	-2.3111350536346436	0.023523999378085136
CG13284	1.6355140209197998	0
CG7180	1.5125659704208374	0
CG10413	1.581902027130127	0
CG17597	2.188707113265991	0.03219199925661087
Ddc	-2.5565760135650635	0
CG10947	-2.584151029586792	0.032882001250982285
vari	1.5189419984817505	0
Ret	3.1707839965820312	0.013640999794006348
CG31988	4.965808868408203	0.00228299992159009
tsh	2.4537010192871094	0
CG34137	2.6526260375976562	0.0000019999999949504854
sced	1.9904249906539917	0
CR44165	8.757403373718262	0
CG15909	5.8576979637146	0
Tdc2	9.198413848876953	0
CG1707	2.378882884979248	0
CG8216	-2.26623797416687	0
PPO2	2.1661319732666016	0
CG13743	2.8377950191497803	0
ltd	1.9536360502243042	0.022102000191807747
VhaAC45	1.8070720434188843	0
CG1827	1.8436110019683838	0
sel	1.552291989326477	0.00001700000029813964
CG2269	2.269498109817505	0
CG12910	2.1370930671691895	0.04566400125622749
stan	2.5285000801086426	0
CG7637	1.7280939817428589	0
CR45141	2.8591489791870117	0
vg	4.455514907836914	0
Dh31-R	1.5546189546585083	0
Vmat	9.362485885620117	0
CG13330	6.580589771270752	9.999999974752427e-7
CG6145	1.8474750518798828	0
CR44366	2.4071640968322754	0.011593000032007694
Arc2	1.8766160011291504	0.0015999999595806003
AttA	2.8529748916625977	0.01464799977838993
CngA	2.149660110473633	0.000007999999979801942
Cbp53E	2.2207961082458496	0
GstS1	1.8912819623947144	0
mbl	2.751120090484619	0
GstE11	2.2762420177459717	0.004730000160634518
GEFmeso	-2.4811880588531494	0.015583000145852566
Hs3st-A	-1.5766420364379883	0
Rgk1	-2.4482479095458984	9.999999974752427e-7
CR44628	1.764436960220337	0.00012099999730708078
Magi	1.718106985092163	0
Pu	3.4114990234375	0
CR42547	1.6907670497894287	0.028032999485731125
CG30263	2.5107669830322266	0.005014999769628048
CngB	1.581639051437378	0
CG13502	1.5816600322723389	0.047672998160123825
fd59A	3.206554889678955	0
Dat	-2.616602897644043	0
nord	2.412450075149536	0
CG3608	2.4073939323425293	0.00001700000029813964
lov	2.388062000274658	0
Kr	2.158029079437256	0
trh	2.304363965988159	0.0004290000069886446
CG13894	1.844035029411316	0.0000019999999949504854
Dbx	2.5593879222869873	0.00003400000059627928
SCOT	2.567958116531372	0
CG1275	3.1411330699920654	0
CG12010	2.303126096725464	0.002274000085890293
CG11593	2.040205955505371	0
Faa	2.3457019329071045	0.03418400138616562
CG14989	-1.7066709995269775	0
CG1311	1.8401780128479004	0
CG33993	2.590092897415161	0
CG8549	1.5518399477005005	0
CG42458	1.7483680248260498	0
Dscam4	2.361954927444458	0
Dhpr	2.663238048553467	0
Pdxk	1.8827190399169922	0
Hsp26	1.7049640417099	0
Hsp23	3.434706926345825	0
CG3448	1.5627150535583496	0.011420000344514847
CG6310	2.2592248916625977	0.00013299999409355223
Pallidin	1.8084570169448853	0
CG42255	3.272921085357666	0.004586999770253897
CG5626	1.5202909708023071	0.0010470000561326742
Pbgs	1.5169299840927124	0
CG4328	2.6707029342651367	0
CG32105	1.94002103805542	0
mirr	1.625188946723938	0.0004330000083427876
CG10738	1.7957210540771484	0.0007800000021234155
D	1.9161670207977295	0.00003099999958067201
Reck	2.372637987136841	0.027636999264359474
Sytbeta	1.671444058418274	0
CG7510	2.9234230518341064	0
