gene	avg_logFC	pval
GABA-B-R3	1.6531440019607544	0
robo3	1.612252950668335	0
erm	4.128671169281006	0
VGlut	-1.5990049839019775	0
CG3104	1.69268000125885	0
ed	-1.5180530548095703	0
hoe2	-1.9141969680786133	0.005506000015884638
TrissinR	-1.9305119514465332	0.000018000000636675395
CG42368	-2.404416084289551	0.010108999907970428
CG11221	-2.5400140285491943	0
Pvf3	2.252592086791992	0
SoxN	1.549949049949646	0
CG31708	-2.072809934616089	0.0032420000061392784
salr	-2.78120493888855	0.000012999999853491317
salm	-2.34920597076416	0.0007239999831654131
JhI-21	5.545032978057861	0
CG14946	-2.1568939685821533	0.000014000000192027073
kek1	2.3043389320373535	0
CG9932	2.124147891998291	0
CG42817	2.6960880756378174	0
dac	-2.8305881023406982	0
beat-IIIc	-2.4461379051208496	0
tup	-2.5642940998077393	0.00020900000527035445
Lim3	-2.161417007446289	0.012060999870300293
Ddc	2.639832019805908	0
Pax	1.5673340559005737	0
sick	2.4880690574645996	0
sNPF	-1.9555189609527588	0
CG2201	-1.6538519859313965	0
tsh	1.7705659866333008	0.011865999549627304
tio	1.9098769426345825	0
ap	-3.053067922592163	0.011195999570190907
Dgk	1.9765340089797974	0
Optix	-2.1723060607910156	0.0002229999954579398
CG34219	-1.6946840286254883	0.0008549999911338091
CG13954	-2.419264078140259	0
CG13739	-2.279205083847046	0
Mmp2	1.6186219453811646	0
KCNQ	-2.1520628929138184	0.001322000054642558
pyr	2.495497941970825	0
Sobp	2.9367010593414307	0.000846999988425523
CG42700	-1.6835479736328125	0.000029000000722589903
CR45312	-2.3773410320281982	0
Vmat	7.748055934906006	0
CG6145	1.8908330202102661	0
Dh44-R1	1.9994499683380127	0
Hr51	-3.430922031402588	0.021976999938488007
CG43729	1.7059379816055298	0
DAT	8.610505104064941	0
Hs3st-A	-1.7944940328598022	0
sano	-2.3999879360198975	0
Pu	2.3380188941955566	0
cv-2	-3.2745509147644043	0.01438200008124113
CG10440	-2.619668960571289	0
CG10384	2.3794100284576416	0
CG9896	-2.649228096008301	0.00015300000086426735
Dat	-1.8359860181808472	0
nvy	1.601688027381897	0
Nplp1	-1.6636580228805542	0
lov	-2.289813995361328	0.028541000559926033
emc	-2.7310900688171387	0
Eip63F-1	1.6355880498886108	0
DopEcR	-2.9738800525665283	0
CG34391	3.089700937271118	0
vn	2.5837059020996094	0.000007000000096013537
Ets65A	-2.7179770469665527	0.0020920000970363617
jv	3.4202680587768555	0.0353970006108284
GluRIA	-2.0366950035095215	0
ple	8.205300331115723	0
vvl	-2.2760140895843506	0
Dscam2	1.5133850574493408	0
Dhpr	1.5226140022277832	0
GluRIB	-2.033205986022949	0
Hsp67Bc	-2.5418589115142822	0
Hsp67Ba	-1.837878942489624	0
Hsp23	-1.62214994430542	9.999999974752427e-7
caup	-3.2067630290985107	0.04227700084447861
mirr	-3.11883807182312	0.0009889999637380242
CG10738	2.6411449909210205	9.999999974752427e-7
Sox21b	2.0869669914245605	0
D	2.3216660022735596	0
Pka-C3	-1.8368810415267944	0.0001340000017080456
CG13054	3.6162099838256836	9.999999974752427e-7
Ccn	-1.738118052482605	0
MYPT-75D	-2.180277109146118	0
CG3961	-2.0604090690612793	0
sNPF-R	-2.0782880783081055	9.999999974752427e-7
ko	1.8008580207824707	0.0005200000014156103
Ac78C	2.2547600269317627	0
Eip78C	-1.6607660055160522	0
TfAP-2	-2.5362470149993896	0.0012069999938830733
CG14459	-3.0480360984802246	0
scro	4.042072772979736	0
TwdlG	-2.9306719303131104	0.000037999998312443495
MP1	-2.344536066055298	0.008705000393092632
5-HT2A	1.9799599647521973	0
Nep2	2.7986600399017334	0.0007029999978840351
CG14669	-2.026535987854004	0
Fer1	-1.716176986694336	0.009410999715328217
Best1	-1.8993480205535889	0
hth	2.4813179969787598	0
CG42394	-1.5886930227279663	0.000004999999873689376
cu	-2.0974280834198	0.0011729999678209424
Cad87A	1.8946659564971924	0
CG34402	-2.5139620304107666	0.005288999993354082
Dtg	4.052652835845947	0.03200199827551842
Pde6	-1.8931679725646973	0
kibra	-1.5724639892578125	0.037553999572992325
btsz	-2.2748188972473145	0
pxb	1.8762589693069458	0
glob1	1.6848620176315308	0
Fer2	5.846744060516357	0
CG6006	-1.5495359897613525	0.000012999999853491317
CG42342	1.8514959812164307	0
Scp2	-1.75735604763031	0
Lgr1	2.993959903717041	0
tinc	-1.963655948638916	0
CG7985	-1.7668859958648682	0
CG7708	-2.320957899093628	0
VAChT	-2.7056400775909424	0
Cha	-2.3009250164031982	0
CG31221	-1.663051962852478	0
Arc42	1.6302390098571777	0.03913100063800812
CG17193	3.0772459506988525	0
Oamb	1.7971550226211548	0
beat-IV	-1.5471450090408325	0
prt	-2.3839359283447266	0.000012000000424450263
Esyt2	-1.6890159845352173	0.010356999933719635
tnc	1.8959579467773438	0
CG5079	-1.7598040103912354	0.000003000000106112566
CCAP-R	1.5056660175323486	0.015048000030219555
side	1.6185510158538818	0
fkh	-2.973891019821167	0
CG14521	-2.306673049926758	0
SP1029	1.7080039978027344	0.012860000133514404
Dop1R2	-2.2975640296936035	0
dmrt99B	4.946261882781982	0
Pcd	1.6440340280532837	0
CG15537	2.26088809967041	0
zfh1	-1.9394840002059937	0.004521000199019909
Lin29	1.5670859813690186	0
zfh2	-1.802029013633728	0
ey	-2.938352108001709	9.999999974752427e-7
Sox102F	-2.6747961044311523	0.0007880000048317015
mGluR	-2.6758921146392822	0
toy	-2.557229995727539	0
Atf3	1.8703199625015259	0
Pdfr	-2.471801996231079	0.00001700000029813964
CG13759	2.2900888919830322	0
CG43689	-2.3519110679626465	0.0002610000083222985
bi	-2.5769801139831543	0
CG3009	-1.7753729820251465	0
CG4766	-2.6307969093322754	0.030448000878095627
Nep1	-2.0867180824279785	0.000003999999989900971
CG3823	6.334171772003174	0
CG9650	-2.196079969406128	9.999999974752427e-7
ct	-2.4111011028289795	0
CG1402	3.223721981048584	0
oc	-2.4296350479125977	0.0038330000825226307
Lim1	2.4939520359039307	0
rdgA	1.8101650476455688	0
spri	-1.7155109643936157	9.999999974752427e-7
Imp	-2.232042074203491	0
CG42339	-1.666208028793335	0
rad	-2.218095064163208	0
mew	-2.322559118270874	0.00001700000029813964
Tango13	1.794996976852417	0
mamo	-2.183480978012085	0
rut	-1.5250879526138306	0
eag	-1.5595149993896484	0
acj6	-2.7691049575805664	0.000004999999873689376
Ac13E	2.058206081390381	0
disco-r	-2.655064105987549	0.012153999879956245
disco	-2.89750599861145	0.006397999823093414
Frq1	-1.517372965812683	0
Bx	2.866274118423462	0
CG43759	-1.7215900421142578	0
CG32532	-2.4558210372924805	0.010591999627649784
Dop2R	2.3849399089813232	0
RunxA	-3.038630962371826	0.011706000193953514
shakB	-1.6023180484771729	0
CG42343	-2.193842887878418	0
