gene	avg_logFC	pval
CG4297	-2.118717908859253	0
erm	2.2884159088134766	0
VGlut	2.679002046585083	0
CG3277	1.7967250347137451	0.00025099999038502574
Proc	-1.9080049991607666	0
salr	-3.3232829570770264	9.999999974752427e-7
salm	-3.961236000061035	0.00002700000004551839
Lim3	-2.4577341079711914	0.0052269999869167805
nompB	3.267493963241577	0
CG40378	1.811210036277771	0.0003480000013951212
so	3.1405680179595947	0.010003999806940556
CG14762	-1.5009499788284302	0
CG2269	1.587291955947876	0
CR45141	1.8613189458847046	0.0016339999856427312
vg	1.9824670553207397	0
Hr51	-2.718493938446045	0.04650399833917618
CG18467	2.378067970275879	0
otp	2.348893880844116	0
dve	2.995100975036621	0
Nplp1	1.6125450134277344	0
Ets65A	-3.4543368816375732	0.00031599999056197703
CG32392	-2.938873052597046	0.04650399833917618
vvl	-2.959486961364746	0
CG42458	-2.065493106842041	0.005065999925136566
mirr	-2.5104949474334717	0.004261999856680632
CG14459	-2.9546139240264893	0
scro	2.3748369216918945	0
Fer1	-2.105273962020874	0.002566999988630414
grn	-2.9633660316467285	0.04013599827885628
Rfx	2.766494035720825	0
CG14741	-2.0139479637145996	0.0008420000085607171
CG34402	-2.603193998336792	0.004588000010699034
CG31345	-1.699038028717041	0
cv-c	-1.8087379932403564	0.0015369999455288053
Hmx	1.8179659843444824	0.00003300000025774352
CR45223	-3.645801067352295	0.02560099959373474
CG31221	-1.5532259941101074	0
CG7084	-1.6531059741973877	0.0019950000569224358
prt	-2.4804189205169678	0.000009999999747378752
CG34355	1.6310460567474365	0
CR31451	1.5582799911499023	0
tnc	-1.8671820163726807	0.010208000428974628
CG11791	-2.021109104156494	0.04078900068998337
fkh	-2.8550209999084473	0
MRE23	-4.620844841003418	0.005623999983072281
zfh1	-1.9985719919204712	0.002560999942943454
Sox102F	-1.9913209676742554	0.00318100000731647
CG32017	1.6107360124588013	0
bi	1.6516790390014648	0
mab-21	1.5267659425735474	0
Nep1	-2.693321943283081	0
ct	-1.6674679517745972	0
oc	2.841576099395752	0
Lim1	-3.0574018955230713	0
acj6	-2.9656450748443604	9.999999974752427e-7
disco-r	4.391424179077148	0
disco	4.215526103973389	0
CG6123	1.8423329591751099	0
CG32532	-3.6763319969177246	0.0009840000420808792
