gene	avg_logFC	pval
l(2)gl	3.881834030151367	0
Cda5	-2.2003049850463867	0.000009999999747378752
Sam-S	-1.857679009437561	0
CG4822	7.8526082038879395	0
CG3164	4.258016109466553	0
CR44969	6.037014961242676	0.031530000269412994
Gs1	-2.16469407081604	0
CG31974	3.0877859592437744	0
CG11454	-1.5477850437164307	0.0000019999999949504854
spen	-1.5100719928741455	0
CG17075	-3.172410011291504	0
CG17078	-1.707015037536621	0.0019099999917671084
Plc21C	-2.6460700035095215	0
RpLP1	1.8177779912948608	0
ex	6.433807849884033	0
crq	1.5100059509277344	0
CG4133	-3.3958160877227783	0
Eaat2	-2.5715079307556152	0
GABA-B-R3	-2.7707300186157227	0.000003000000106112566
dock	-1.5764679908752441	0
aru	4.652641773223877	0
CG4341	-2.69594407081604	0
IA-2	-3.091031074523926	0
Pino	2.467967987060547	0
CG4577	-1.5316280126571655	0
MFS3	4.573314189910889	0
CG5080	6.361509799957275	0
CG4887	-1.7516930103302002	0
robo3	-2.9129059314727783	0
lea	-3.3819799423217773	0.00004099999932805076
haf	-3.494992971420288	0.0001250000059371814
chinmo	-4.148492813110352	0
CG31937	3.7762160301208496	0
wry	-2.699376106262207	0
CG7337	-1.5386849641799927	0
CG15362	2.6511640548706055	0.0271029993891716
Got2	2.9049360752105713	0
CG33543	-3.1594350337982178	0
CG4238	-2.0029680728912354	0
dpr3	-3.1130099296569824	0
CG9967	3.5916690826416016	0.018397999927401543
eys	-3.0426340103149414	0
CG3609	2.907435894012451	0
VGlut	-1.8372019529342651	0
dpp	6.470077991485596	0.00045200000749900937
CG15394	5.659255027770996	0
CG31689	5.739270210266113	0
colt	3.000864028930664	0
CG2862	1.731505036354065	0
Syt1	-3.618472099304199	0
daw	7.2938032150268555	0
G6P	-3.396358013153076	0.0009830000344663858
CG3104	-3.087639093399048	0
CG2991	1.5701980590820312	0
betaggt-II	3.764957904815674	0
NTPase	2.063394069671631	0
Rbp9	-3.08017897605896	0
GABPI	-1.720579981803894	0
toc	-2.3234848976135254	0
gkt	-2.2281320095062256	0.007240000180900097
Hydr2	2.1427578926086426	0
CG34393	-2.929068088531494	0.0011370000429451466
CG9664	5.469388008117676	0
CG9663	2.93038010597229	0.02468300051987171
CG8837	9.298595428466797	0
E23	2.3894948959350586	0
pgant2	-2.8864519596099854	0
Thor	4.645033836364746	0
tim	4.352986812591553	0
for	5.771872043609619	0
CG34340	3.790990114212036	0
Shaw	-2.8269081115722656	0
CG10019	-2.217902898788452	0.000035000000934815034
CG43707	-3.1588850021362305	0
Reph	-2.2646780014038086	0
Cep97	-1.9691230058670044	0
capu	-2.552298069000244	0
fred	-3.0354630947113037	0
ed	-1.9059569835662842	0
CG31961	-1.6259880065917969	0
tutl	-3.7074038982391357	0
CG16857	2.3428919315338135	0
CG15431	-2.9244918823242188	0
MFS18	-1.5949989557266235	0.0006559999892488122
CG34351	-2.4251580238342285	0
CG15628	-3.3951470851898193	0
CG12194	-2.9014880657196045	0
pog	-3.6033120155334473	0
CG3036	4.753377914428711	0.001344999996945262
hoe2	-2.941541910171509	0.009228999726474285
CG3792	1.7104250192642212	0
Rtnl1	-2.1354451179504395	0
vkg	5.393747806549072	0
Cg25C	5.885988235473633	0
CG31650	-2.0087950229644775	0
CG9121	-3.1943399906158447	0
qtc	-2.869868040084839	0
CG4230	-2.25055193901062	0
Cyp28d1	4.180689811706543	0
vri	3.9508309364318848	0
CG14024	-2.866128921508789	0
CG12512	3.3414759635925293	0.002266000024974346
CG14015	-3.295413017272949	0
GluRIIA	6.028844833374023	0
CG14010	-2.5650830268859863	0.03560100123286247
CG31646	-2.9048659801483154	0
CG11030	-2.388061046600342	0
CG7239	-1.9622679948806763	0.0069229998625814915
TrissinR	-2.8886940479278564	0.00009000000136438757
CG9029	7.683113098144531	0
bchs	-2.045193910598755	0
CG13999	-3.9718871116638184	0.00003600000127335079
ifc	2.871005058288574	0
Gal	5.920522212982178	0
CG9098	-2.6817989349365234	0.000011000000085914508
CG9109	4.13153600692749	0
CG9117	2.448791980743408	0.045559998601675034
ade2	4.087996959686279	0.0014410000294446945
CG13995	-3.0737240314483643	0
Kr-h2	2.075448989868164	0
stai	-2.0921809673309326	0
CG34380	-1.6480560302734375	0
Ddr	-2.0145609378814697	0
CG9486	3.071091890335083	0
Pez	3.968151092529297	0.014512999914586544
Cpr	2.83145809173584	0
CG42368	-3.5748190879821777	0.01810000091791153
CG13982	-3.1528968811035156	0.000003999999989900971
CG9527	1.7174010276794434	0
CG16947	5.3454108238220215	0
CG9531	-1.7872639894485474	0.000011000000085914508
CG9547	4.815825939178467	0
CG11319	-3.025036096572876	0
Spn27A	6.329105854034424	0
Nhe3	-1.93326997756958	0
CG11221	-2.1695759296417236	0.000043000000005122274
CG17378	-3.1376140117645264	0
Nlg2	-3.3190319538116455	0
Wee1	-2.00632905960083	0
x16	-2.2923998832702637	0
CG10399	4.25941801071167	0.02008800022304058
CG3476	1.5873010158538818	0.0004659999976865947
CG11266	-1.8247120380401611	0
Mnn1	-2.5995829105377197	0
CG4497	-1.566215991973877	0.00661499984562397
Ndae1	-2.6075339317321777	0
CG5149	-1.6789499521255493	0
CG5973	3.44897198677063	0
Slob	-3.2129480838775635	0
Tep2	7.203149795532227	0
CG13796	1.7438009977340698	0.030030999332666397
CG7203	7.657700061798096	0.006322000175714493
LanB1	7.703792095184326	0
CG14535	-2.963711977005005	0
CG7231	2.4957690238952637	0
pes	6.773025989532471	0
Sirup	5.905794143676758	0
CG12560	3.651045083999634	0
Tg	7.4263081550598145	9.999999974752427e-7
Bsg	2.1065359115600586	0
Piezo	-2.6085760593414307	0
CG34134	2.532309055328369	0
CG8475	4.96232795715332	0
CR44116	6.67545223236084	0
SLC5A11	5.739033222198486	0
Pvr	2.9522500038146973	0
CG8086	4.813827037811279	0
Scgalpha	-3.6227738857269287	0
CG7781	1.5533230304718018	0
CG14275	5.687833786010742	0.018171999603509903
CG7627	1.9064500331878662	0
CG17292	6.491172790527344	0
CG13397	4.098681926727295	0.000007999999979801942
CG17834	8.181502342224121	0
Sema-1a	-3.192333936691284	0
PrBP	-2.1296889781951904	0
Hnf4	4.67011022567749	0
SoxN	-2.4506800174713135	0
C1GalTA	-1.7038580179214478	0
CG31708	-3.6369409561157227	0.002819000044837594
CG13108	-3.3964691162109375	0
Ggamma30A	-3.4416821002960205	0
Eaat1	4.293095111846924	0
Shawl	-2.9140260219573975	0
Aldh	4.977044105529785	0
numb	-3.092674970626831	0
jp	-3.0081560611724854	0
CG3838	-1.6071399450302124	0.002515000058338046
Mtpalpha	4.425439834594727	0
GlcAT-S	-2.2312569618225098	0
CG31710	3.65059494972229	0
Nckx30C	-3.5461390018463135	0
IP3K1	5.922006130218506	0
nAChRalpha6	-3.976749897003174	0
CG13124	2.6661720275878906	0
yip2	5.823730945587158	0
CG4598	4.229494094848633	0
CG4594	5.798398971557617	0.00010199999815085903
CG4592	3.805109977722168	0
CG31712	-2.1928279399871826	0
CG4658	1.756572961807251	0
CG5850	2.6796889305114746	0
CR43683	5.696599960327148	0.026086000725626945
CR13130	6.674325942993164	0
bib	4.094764232635498	0
CG44153	-3.689297914505005	0
Sur	4.621225833892822	0
bsk	-1.7260019779205322	0
Ror	-3.617274045944214	9.999999974752427e-7
Rsf1	-1.7898149490356445	0
trk	4.285686016082764	0.007486000191420317
CG5390	5.974149227142334	0
Cdk5alpha	-3.1536600589752197	0
CG5381	5.149293899536133	0
CG5375	-2.96669602394104	0
Sps2	2.055479049682617	0
CG5022	-3.039046049118042	0
rho-5	-2.692625045776367	0
dpr19	-3.412184000015259	0
Mdh1	3.7868690490722656	0
CG5337	-2.816180944442749	0
LM408	3.4612960815429688	0
Trim9	-1.8113759756088257	0
CG6750	1.9013689756393433	0
CG6495	-3.1410961151123047	0
Nos	-1.9355560541152954	0.00558099988847971
CG6700	-1.9173270463943481	0
dpr2	-2.819581985473633	0
CG12253	-1.738440990447998	0.004009000025689602
CG16833	-1.6006050109863281	0
Samuel	5.367430210113525	0
CG16854	-3.0249059200286865	0.00004400000034365803
Csl4	-1.658521056175232	0.012415999546647072
CG6287	4.407121181488037	0
Ca-beta	-3.018570899963379	0
ab	-2.2291440963745117	0
cana	6.599247932434082	0
salr	-3.488718032836914	0.00015100000018719584
salm	-4.042718887329102	0.000893999997060746
CG31705	2.932607889175415	0
kek2	-3.657322883605957	0
Pde1c	-3.0622050762176514	0
Mal-B2	5.132400035858154	0
dgt2	2.409290075302124	0.0015589999966323376
Qtzl	-2.3901500701904297	0
CG6746	1.5579400062561035	0
CG6770	1.6301449537277222	0
CG14946	-2.845611095428467	0.00020900000527035445
Patsas	-3.232975959777832	0.00002300000051036477
CG31760	-2.559130907058716	0
aret	-2.251948118209839	0
atilla	4.531826019287109	0.000024000000848900527
vir-1	4.5091657638549805	0
CR43051	3.020698070526123	0.008151999674737453
PICK1	-2.3316810131073	0
CG17036	8.226107597351074	0
kek1	-3.0931150913238525	0
Vha68-2	7.134729862213135	0
Vha68-1	-2.2963221073150635	0
CG9932	1.839985966682434	0
CG31849	-1.7839000225067139	0.047717999666929245
kek4	-2.604046106338501	9.999999974752427e-7
CG16812	-1.578423023223877	0.0000019999999949504854
Drep-4	-2.2295920848846436	0
