gene	avg_logFC	pval
CG3164	2.215717077255249	0
CG5080	5.717043876647949	0
CG31937	1.7492530345916748	0.04191200062632561
CG3609	1.600093960762024	0.022556999698281288
CG15394	4.111855983734131	0.00009699999645818025
CG31689	3.4006619453430176	0.005111999809741974
CG8837	5.310152053833008	0
Thor	4.256077766418457	0.0003110000106971711
tim	1.8094160556793213	0.00004600000102072954
for	3.107095956802368	0.00027600000612437725
vkg	3.1324150562286377	0
Cg25C	3.374145984649658	0
Cyp28d1	1.7015210390090942	0
CG16947	2.4622750282287598	0.0010029999539256096
Spn27A	3.13590407371521	0.0039029999170452356
CG5973	1.8131740093231201	0
Tep2	3.790494918823242	0.000060999998822808266
LanB1	5.046371936798096	0
pes	3.653251886367798	0.000007999999979801942
Sirup	2.842221975326538	0
CG8475	2.1383700370788574	0
SLC5A11	2.641305923461914	9.999999974752427e-7
Pvr	2.2140560150146484	0.00043799998820759356
Hnf4	2.202133893966675	0.0006360000115819275
Eaat1	1.7346760034561157	0
Aldh	2.3408000469207764	0
Mtpalpha	2.067063093185425	0.00004600000102072954
IP3K1	4.277358055114746	0.04045800119638443
CG13124	1.932695984840393	9.999999974752427e-7
yip2	2.8807599544525146	0
CG4598	1.7444000244140625	0.008058000355958939
CG5390	3.4101719856262207	0
LM408	3.032386064529419	0.0012550000101327896
CG6287	2.195323944091797	0
atilla	4.972064018249512	0.013927999883890152
vir-1	2.434380054473877	0
Vha68-2	4.005616188049316	0
wb	4.2733659744262695	0.045545998960733414
Idgf2	5.340597152709961	0.0004710000066552311
Idgf3	1.5203629732131958	0.000045000000682193786
Ugt36Bc	3.4028899669647217	0.01676500029861927
CG10702	4.988821983337402	0
Tep4	6.558256149291992	0.023158999159932137
CG2493	2.4557979106903076	0.003066000062972307
CG9336	4.269800186157227	0.000893999997060746
CG9338	5.076496124267578	0.00006500000017695129
CG34136	1.9457370042800903	0.01191600039601326
scaf	3.4437758922576904	0
Tsp42Ea	3.1689419746398926	0.003957999870181084
CG30159	2.6107120513916016	0.026180999353528023
Tsp42Ed	5.5682902336120605	0
Spn43Ab	2.2159500122070312	0
nec	5.255345821380615	0
Cyp6a13	2.126934051513672	0.0000019999999949504854
Myd88	2.3836801052093506	0.010944000445306301
ced-6	1.89661705493927	0.00002499999936844688
magu	3.633323907852173	0.0006019999855197966
egr	3.760807991027832	0.009379999712109566
gem	3.66621994972229	0
Syb	2.779952049255371	0
whd	1.9522099494934082	0
Tret1-1	4.747931957244873	0
wal	2.1388919353485107	0
Ef1alpha48D	2.298330068588257	0
CG18343	2.8842990398406982	0.0005119999987073243
CG17739	2.6589620113372803	0
CG8839	1.5937429666519165	0.026040000841021538
Mdr49	5.300102233886719	0
CG4630	5.132823944091797	0
Vmat	1.6792080402374268	0
CG6357	1.720553994178772	0
CG6543	1.58399498462677	0.0002280000044265762
CG6701	3.159698009490967	0.0017590000061318278
CG30069	1.6385899782180786	0.0015059999423101544
CG30197	2.416383981704712	0
Cyp6a17	2.5449020862579346	0.000009999999747378752
Cyp6a23	3.677793025970459	0.04626300185918808
