gene	avg_logFC	pval
CG3164	1.8436579704284668	0.00014099999680183828
Eaat2	2.0549190044403076	0
GABA-B-R3	1.5662699937820435	0.000506000011228025
CG4629	1.8965879678726196	0
CG4577	5.620156764984131	0
MFS3	4.128900051116943	0
CG33543	1.7446420192718506	0
dpr3	1.8678480386734009	0
eys	1.921633005142212	0
VGlut	-1.8452709913253784	0.00025099999038502574
oaf	1.7967350482940674	0
CG3277	3.3718628883361816	0
pgant2	-1.5277019739151	0.00016599999798927456
CG34351	-2.1559839248657227	0.00953999999910593
hoe2	1.5571680068969727	0.005198999773710966
CG31646	-1.977552056312561	0.0036899999249726534
CG42368	3.0928308963775635	0
CG11221	-2.1008260250091553	0.04789400100708008
Pvf3	2.4621219635009766	0
Pvr	2.918834924697876	0
CG14274	1.6878130435943604	0.0013539999490603805
Dh31	3.194572925567627	0
SoxN	-2.7203660011291504	0.0002570000069681555
numb	1.5497020483016968	0
CG4598	1.9481760263442993	0.002348999958485365
CG44153	1.911321997642517	0
Trim9	2.843441963195801	0
Nos	3.3094398975372314	0
CG6201	2.2746920585632324	0.000007999999979801942
ab	-2.4506640434265137	0
JhI-21	4.649216175079346	0
CG14946	-4.118118762969971	0.04812699928879738
kek1	-3.2437140941619873	0
CG31814	-3.13800311088562	0
CG33090	2.8864328861236572	0
kek3	2.7798519134521484	0
beat-IIIb	-2.5961179733276367	0
beat-IIIc	-1.7113490104675293	9.999999974752427e-7
CadN2	-1.7285419702529907	0.007120999973267317
CG42750	1.6457819938659668	0
Fas3	1.8028290271759033	0
Pde11	-1.766021966934204	0.0016110000433400273
Ddc	-3.283869981765747	0
sNPF	-2.050726890563965	0.0010460000485181808
pr	1.9121010303497314	0
CG31676	2.413588047027588	0
CG31619	-1.9938960075378418	0
Gpb5	1.5728000402450562	0
CR44165	8.080384254455566	0
CG15909	6.098690032958984	0.016307000070810318
Tdc2	9.119088172912598	0
Gadd45	1.7256089448928833	0.012261000461876392
CG1707	1.9127659797668457	0
CG1399	1.9853639602661133	0
Dgk	1.7096999883651733	0
CG30377	5.673677921295166	0.00009600000339560211
CG12769	-2.02197003364563	0.00003099999958067201
pdm3	2.6133220195770264	0
