gene	avg_logFC	pval
Plc21C	1.6237159967422485	0
CG4297	2.667557954788208	0
CG11835	4.414956092834473	0
GABA-B-R3	-2.671135902404785	0
CG4577	1.7356469631195068	0
robo3	-2.6714649200439453	0
NLaz	-2.424233913421631	0
lea	-3.4543540477752686	0
haf	-2.1418468952178955	0
erm	-3.2043850421905518	0.0012679999927058816
CG33543	-2.281256914138794	0
VGlut	-1.7475650310516357	0
CG31690	-1.5537960529327393	0
CG34393	-3.061161994934082	0
CR45706	-3.6240999698638916	0.0006980000180192292
CG3277	-2.788439989089966	0.00010599999950500205
CG2772	5.320878028869629	0
CG34340	-1.8104130029678345	0.000012999999853491317
fred	-3.3936829566955566	0
ed	-1.5870510339736938	0
CG34351	-2.681298017501831	0
CG14015	-1.6992640495300293	0
CG14010	-2.8144259452819824	0
CG31646	-3.0542800426483154	0
TrissinR	-2.5436511039733887	0
CG9016	-2.680433988571167	0.0002899999963119626
CG9109	-1.973917007446289	0.036205001175403595
CG13995	-2.660128116607666	0
CG34380	-2.739084005355835	0
Ddr	-3.147066116333008	0
CG42368	-2.4824419021606445	0
CG13982	-1.9582200050354004	0
CG11319	1.7917540073394775	0
CG4502	1.9351060390472412	0
Ndae1	1.7343239784240723	0
Wnt4	-3.0330491065979004	0
CG5973	-2.230086088180542	0
RapGAP1	-3.2168660163879395	0
Slob	1.915444016456604	0
Proc	-1.6214580535888672	0
CG12560	1.7664990425109863	0.001500000013038516
Piezo	-2.23144793510437	0
Pvr	-2.3766160011291504	0.000007999999979801942
Btk29A	-3.234010934829712	0
CG14274	-2.3664538860321045	0
CG7627	-1.9826840162277222	0
SoxN	-2.8578779697418213	0
Try29F	-1.6669310331344604	0.00047900000936351717
CG31708	-2.489672899246216	0
Shawl	1.698693037033081	0
numb	-1.519624948501587	0
Pka-C1	2.6717329025268555	0
hoip	2.0698049068450928	0
bib	-2.3692169189453125	0.029572999104857445
CG44153	-1.8229039907455444	0
Myo31DF	-2.2751541137695312	0.0015150000108405948
Trim9	-2.961972951889038	0
Nos	-2.7922909259796143	0
dpr2	-2.9257149696350098	0
ab	-1.9963099956512451	0
salr	-3.022610902786255	0
salm	-3.059282064437866	0
kek2	-2.4181931018829346	0
CG14946	-2.9677109718322754	0
crok	-1.8435879945755005	0
bru-2	4.680287837982178	0
CR44598	3.798882007598877	0
CR44597	3.638715982437134	0.0000870000003487803
pdm2	-2.5626120567321777	0.041627999395132065
DnaJ-H	-1.5290329456329346	0
CG5705	-1.6306400299072266	0
CG42784	2.8580830097198486	0
Hsp60D	4.532742023468018	0.009858000092208385
CG42809	3.530313014984131	0
CR45684	5.08301305770874	0
CG31814	2.4997220039367676	0
rk	2.5138039588928223	0
CG33090	2.0776190757751465	0
osp	-2.3691649436950684	0
CG4168	-2.5977530479431152	0
beat-Ib	-2.0670859813690186	0
beat-Ic	-3.156373977661133	0
beat-Ia	-2.9609251022338867	0
dac	3.68454909324646	0
beat-IIIc	-2.9990720748901367	0
CR44396	-3.1859419345855713	0.004776999820023775
Dif	2.815901041030884	0
Sytalpha	2.407855987548828	0
CadN	-1.6846729516983032	0
CadN2	-2.722114086151123	0
CR45332	-4.103857040405273	0
CR45333	-4.814190864562988	0
rdo	-2.945902109146118	0
Fas3	-2.7934679985046387	0
Pde11	-2.479196071624756	0
CG31751	-1.834568977355957	0
ham	-3.407625913619995	0.041359998285770416
tup	-2.6470139026641846	0
Lim3	-2.9974451065063477	0
Ddc	-1.5513739585876465	0
CR44978	-2.8472061157226562	0
sNPF	3.756772994995117	0
fok	1.831225037574768	0
CR45347	-3.9560580253601074	0
dia	-1.5599349737167358	0
vari	-2.2069458961486816	0
CG9331	-1.815093994140625	0.0000019999999949504854
tadr	-2.3494410514831543	0
CG34136	-1.6957119703292847	0.00558000011369586
CG31619	-2.536681890487671	0
tsh	-3.1939079761505127	0.00025499999173916876
tio	-2.690561056137085	0
CG34137	1.563364028930664	0.010458000004291534
CG40378	-3.962161064147949	0.0002699999895412475
CG43676	-2.4201838970184326	0.00007500000356230885
l(2)41Ab	-2.682837963104248	0
CG41520	-1.624148964881897	0.013252000324428082
CR45139	-1.6154630184173584	0
ap	-2.7544350624084473	0
CCHa2-R	-3.7324059009552	0.014667999930679798
Epac	-2.6007258892059326	0
CG15236	-2.6083641052246094	0
CG30158	1.989920973777771	0
lbm	5.417517185211182	0
Tsp42En	6.353973865509033	0
CG18812	1.7783310413360596	0
Hey	4.584488868713379	0
CG11191	3.0383899211883545	0
CR45267	-3.3439218997955322	0.01995600014925003
CR43724	-3.6203160285949707	0.027868999168276787
Optix	-3.0706028938293457	0
pdm3	-3.3162050247192383	0
CG11635	-3.501163959503174	0.0001990000018849969
mtt	-2.2257840633392334	0
Cyp6a13	-1.515136957168579	0.02108599990606308
rgr	-3.3545100688934326	0.03895299881696701
sns	-2.1625680923461914	0
CG34219	2.6221790313720703	0
PPO2	-2.3589789867401123	0
CG13743	-2.660753011703491	0
GstE13	-2.3671069145202637	0
VhaAC45	-1.5091090202331543	0
hig	-2.7573959827423096	0
CG13739	3.0609290599823	0
Updo	1.7385590076446533	0
Mef2	3.134016990661621	0
Pka-R2	3.519615888595581	0
KCNQ	2.7040040493011475	0
CG12910	3.759390115737915	0
Lsm10	-1.6075570583343506	0.03674599900841713
CG30015	-2.525602102279663	0
luna	-3.225503921508789	0
CG13229	-2.797804117202759	0.000007999999979801942
pyr	-2.8157050609588623	0.000009999999747378752
ths	-2.5592041015625	0
Drep-1	-2.5467560291290283	0
Drep-3	-2.4976260662078857	0
CG8407	-2.2738759517669678	0.0000019999999949504854
Lac	-2.9529380798339844	0
Dh44-R2	2.3767080307006836	0
fra	-2.309037923812866	0
CG42708	-1.8745800256729126	0
CG42663	-3.214487075805664	0
CR45141	-2.615755081176758	0.0029269999358803034
vg	-2.224828004837036	0.000011000000085914508
Dh31-R	-2.281935930252075	0
CR44366	-3.410640001296997	0.022593000903725624
fas	-3.7799129486083984	0
CG13337	-4.018988132476807	0.0000019999999949504854
CG18368	-3.8424630165100098	0.00020500000391621143
DJ-1alpha	1.8892600536346436	0.0003260000084992498
CG8503	2.9965219497680664	0.000024000000848900527
Dh44-R1	1.7711540460586548	0
kn	-2.8521909713745117	0.000007999999979801942
CG10249	-2.1458919048309326	0
CG10257	2.2048299312591553	0
hbs	-3.303428888320923	0
Hr51	3.3662779331207275	0
CR44458	-2.2713229656219482	0.00004999999873689376
CG43729	1.535436987876892	0
CG42524	-4.1114349365234375	0
sli	-2.873744010925293	0
Asph	-2.035780906677246	0.0000019999999949504854
CG15704	-1.9305789470672607	0
CG30463	1.8014379739761353	0
Vkor	1.7846180200576782	9.999999974752427e-7
Pkc53E	2.6335999965667725	0
CG9640	1.7992559671401978	0.0035510000307112932
mbl	-2.5422539710998535	0
Klp54D	2.120497941970825	0.000039999998989515007
CG30105	-2.168109893798828	0.0203000009059906
CCHa1-R	-2.624121904373169	0.00007999999797903001
Elk	3.0168380737304688	0
dpr13	-3.5422890186309814	0
Spn55B	-1.8580780029296875	0.000012000000424450263
GstE4	4.332882881164551	0
CG30116	1.6215540170669556	0
Rgk2	2.5559029579162598	0
GEFmeso	-2.9661290645599365	0
CG15097	1.5177799463272095	0
sano	-2.5656919479370117	0
5-HT1A	2.661871910095215	0
Ir56a	1.815598964691162	0.024299999698996544
cora	1.842270016670227	0
Rgk1	3.1905109882354736	0
CG9975	2.7301759719848633	0
sm	-2.1719489097595215	0
