gene	avg_logFC	pval
Cda5	1.5712709426879883	0
GABA-B-R3	-2.547437906265259	0
aru	3.9611079692840576	0.000007999999979801942
CG4341	-2.89683198928833	0
CG14340	3.6364359855651855	0
robo3	-2.8563010692596436	0
NLaz	-2.515631914138794	0
lea	-3.0326011180877686	0
haf	-2.4049580097198486	0
dpr3	-3.331960916519165	0
eys	1.8543440103530884	0
CG3609	-1.9029730558395386	0.006157999858260155
CG15390	-1.560122013092041	0.002489000093191862
VGlut	-1.6919859647750854	0
oaf	1.8649020195007324	0
CG31690	-3.2871429920196533	0
CG34393	-2.00887393951416	0
CG3277	-3.148711919784546	0.025140000507235527
CG34340	-1.9063949584960938	0.030067000538110733
CG43707	-2.661005973815918	0
fred	-2.9038848876953125	0
ed	-1.574558973312378	0
CG34351	-3.0904929637908936	0
CG15630	2.2705020904541016	0
CG12194	1.6499669551849365	0
CG14044	4.3670878410339355	0
CG14010	-3.0169100761413574	0.0000019999999949504854
CG31646	-2.951603889465332	0
CG11030	-2.1455130577087402	0
TrissinR	-2.655313014984131	0
CG9016	-3.1474709510803223	0.0353889986872673
CG42368	-2.633223056793213	0.000014999999621068127
CG11221	2.6319549083709717	0
Pvf3	-2.0207560062408447	0
Ndae1	1.873621940612793	0
CG43800	1.719642996788025	0.00002499999936844688
Wnt4	-2.398279905319214	0.000813000020571053
CG5973	-1.8082749843597412	0
Slob	2.1763219833374023	0
Pvr	-3.481775999069214	0.004513000138103962
Btk29A	-2.923340082168579	0
CG14274	-2.7357120513916016	0.00024300000222865492
fu12	-1.7098239660263062	0.014708999544382095
SoxN	-2.9215760231018066	0
CG31708	-2.0332190990448	0.000006000000212225132
CG32982	-1.6917140483856201	0
numb	-3.513883113861084	0
Oatp30B	1.6546250581741333	0
Apoltp	1.8688490390777588	0
Pka-C1	3.054255962371826	0
hoip	1.8114069700241089	0
nAChRalpha6	2.5103600025177	0
CG44153	-3.2747390270233154	0
Trim9	-2.919692039489746	0
Nos	-2.098505973815918	0
dpr2	-2.724574089050293	0
ab	-2.7504239082336426	0
salr	-3.2294209003448486	0
salm	-2.8928210735321045	0
kek2	-3.535520076751709	0
Pde1c	1.6728579998016357	0
CG14946	-2.981416940689087	0
crok	-2.185817003250122	0.0002880000101868063
CG9932	-2.2056760787963867	0
CG31849	-1.748487949371338	0.000019999999494757503
CR45684	1.6636120080947876	0.04606100171804428
CG17341	-1.7813290357589722	0
CG33090	-1.960718035697937	0
CG18420	2.5803160667419434	0.024466000497341156
CG42313	2.2628591060638428	0
CG15270	-2.496190071105957	0
CG4168	-2.837080955505371	0
beat-Ib	-3.3172640800476074	0
beat-Ic	-3.322129011154175	0
beat-Ia	-3.518333911895752	0
CG42817	2.660209894180298	0
dac	3.0471038818359375	0
CG5953	-1.9569419622421265	0.010859999805688858
CG13284	1.7980929613113403	0
beat-IIIc	-3.0020360946655273	0
Dif	2.9559779167175293	0
Sytalpha	-2.1207048892974854	0
CR45699	6.1879777908325195	0.01294699963182211
CadN2	-1.7165570259094238	0
CR45332	-3.780647039413452	0
CR45333	-3.800436019897461	0
rdo	-3.0850141048431396	0
let-7-C	-2.4207260608673096	0.000003999999989900971
CG10283	2.4024569988250732	0
Pde11	-2.289278030395508	0
tup	-2.7989940643310547	0
Lim3	-2.5856120586395264	0.000009000000318337698
CR44978	-3.2352380752563477	0
CG43861	1.6057180166244507	0
sNPF	-1.8947620391845703	0
fok	2.4635539054870605	0
CG10947	1.6480809450149536	0
CR45347	-3.638653039932251	0.0009730000165291131
Hr38	1.6999160051345825	0
vari	-2.012573003768921	0
CG31619	-2.3495590686798096	0
tsh	-3.422300100326538	0.04062899947166443
tio	-3.0729169845581055	0
CG34137	1.966122031211853	0.0013370000524446368
CG40378	-4.143332004547119	0.03938300162553787
CG43676	-2.1845669746398926	0.04273800179362297
l(2)41Ab	-1.6256099939346313	0
CR44043	2.1611850261688232	0.000004999999873689376
CG17691	-2.2638609409332275	0
CR45139	-2.0968708992004395	0
ap	-2.2751379013061523	0.0008299999753944576
CG15236	-1.8360179662704468	0
CG30158	3.9060750007629395	0
esn	-2.7986080646514893	0
Gadd45	-2.3977890014648438	0.0037769998889416456
CG18812	2.3086559772491455	0
Dgk	-2.918256998062134	0
CG11191	2.2906899452209473	0
Optix	-3.067228078842163	0
CG17977	-1.5637580156326294	0
pdm3	-3.1888129711151123	0
CG11635	-3.367053985595703	0.048347000032663345
sns	-2.751415967941284	0
CG8248	1.7464100122451782	0
PPO2	-1.728044033050537	0
CG13743	-2.0192549228668213	0
GstE13	-1.7461190223693848	0
hig	-2.680324077606201	0
CG13739	3.9297749996185303	0
Mmp2	-2.847381114959717	0
Lsm11	1.8310819864273071	0.0012169999536126852
Pka-R2	2.5222299098968506	0
14-3-3zeta	1.9185620546340942	0
KCNQ	-1.810891032218933	0.00005900000178371556
CR45134	1.6531590223312378	0.00431900005787611
CG11883	-1.5547579526901245	0
stan	-2.4295079708099365	0
luna	-3.2633299827575684	0
CG13229	-2.8438758850097656	0.013375000096857548
metro	1.863299012184143	0
pyr	-2.3456499576568604	0.02370399981737137
Sobp	2.933729887008667	0
Drep-1	-1.5521830320358276	0
Drep-3	-2.5876810550689697	0
CG8407	-1.9984619617462158	0.008689000271260738
CG42700	1.6604880094528198	0
Dyb	1.7234840393066406	0
Lac	3.7769060134887695	0
fra	-1.7416130304336548	0
nemy	-1.71800696849823	0.009286999702453613
sca	1.550305962562561	0
