gene	avg_logFC	pval
CR43609	1.755558967590332	0
Cda5	1.5593199729919434	0
CG11835	2.1419060230255127	0
Eaat2	2.170991897583008	0
CG15362	1.922881007194519	0.00033400001120753586
Uch	1.848196029663086	0
CG3609	1.796900987625122	0
VGlut	-1.9292670488357544	0
insv	2.7384700775146484	0
CG9961	2.4565489292144775	0.000037999998312443495
Rbp9	1.526764988899231	0
CG17219	2.022645950317383	0.024815000593662262
CG3523	1.74167799949646	0
Wnt4	-3.086560010910034	0.01027700025588274
CG14274	-2.1765239238739014	0.047811999917030334
SoxN	-2.8653299808502197	0
Tsp29Fb	3.2927749156951904	0.002406999934464693
CG9541	1.5594580173492432	0.00020300000323913991
mthl15	2.866765022277832	0.0018649999983608723
pie	1.5975470542907715	0.0009089999948628247
CG6144	1.9286160469055176	0
Myo31DF	1.6130770444869995	0
Nos	-1.8185640573501587	0.005919999908655882
aub	3.349045991897583	0
salr	1.7110569477081299	0
CG14946	1.926651954650879	0
CG9008	-1.8674900531768799	0.0031109999399632215
rk	1.645251989364624	0
CG33090	1.8064730167388916	0
CR43856	1.9539049863815308	0.03471200168132782
CG4168	2.042922019958496	0
dac	-2.8588500022888184	0
CG5050	2.4907140731811523	0.012779000215232372
rdo	1.7447429895401	0
CG31751	1.5133949518203735	0
tup	2.5398380756378174	0
CR44738	3.337533950805664	9.999999974752427e-7
Lim3	-2.2351109981536865	0.009712999686598778
CG17544	2.116076946258545	0
CG10268	1.563004970550537	0
CR44978	1.641746997833252	0
sNPF	-1.8824269771575928	0
CR40341	3.0503969192504883	0.009173000231385231
CG31627	2.132246971130371	0.00013099999341648072
CG31988	5.242671012878418	0
CG31619	1.62044095993042	0
tsh	1.50900399684906	0
ap	-2.582331895828247	0.01205500029027462
CR44127	1.8173389434814453	0
CG30158	-1.6166249513626099	0
CG2064	1.6066850423812866	0
CG8791	2.6875100135803223	0.01633100025355816
CG34430	4.886315822601318	0.018410999327898026
Optix	-2.8707520961761475	0.000009999999747378752
CG14757	1.5294179916381836	0
GstE13	1.9207630157470703	0
Rad51C	2.7850260734558105	0.000007999999979801942
unpg	6.362371921539307	0
CG30343	1.509680986404419	0
CG1827	1.8217339515686035	0
sqa	4.021594047546387	0.000029000000722589903
CG30001	1.7842689752578735	0.009980999864637852
Mef2	1.7358579635620117	0
CG2269	-2.1543080806732178	0
Lsm10	1.6167490482330322	0
CG44314	2.198415994644165	0
Drep-3	3.4599409103393555	0
CG13178	3.4078240394592285	0.00006500000017695129
Lac	-1.8307549953460693	0.0449099987745285
CG8778	1.7673989534378052	0
vg	-3.048145055770874	0.01955600082874298
DJ-1alpha	1.6542550325393677	0.00041700000292621553
Oaz	7.554388999938965	0
kn	3.106544017791748	0
igl	1.8178249597549438	0
Hr51	-2.3373310565948486	0.019765999168157578
CG43729	2.7467589378356934	0
SP2353	1.5497939586639404	0
CG44242	1.537065029144287	0
CG15701	3.0113658905029297	0.00016500000492669642
Cbp53E	1.869784951210022	0
mbl	1.7431429624557495	0
Sip1	2.337754964828491	0.027166999876499176
Klp54D	2.869088888168335	0
CG30105	1.7601150274276733	0
CG5757	1.5874639749526978	0
GstE4	1.68191397190094	0.04761499911546707
GstE11	3.5422520637512207	0
CG5335	2.2994630336761475	0
betaTub56D	1.5239520072937012	0
CR44628	1.7692370414733887	0
PCNA	3.4016780853271484	0.01667100004851818
Nnf1a	2.364459991455078	0
otp	4.80686092376709	0
Rx	-2.7663259506225586	0.028250999748706818
CG9752	1.6339980363845825	0.004195000045001507
CG30263	1.5403809547424316	0.00029299999005161226
CG30271	3.270775079727173	0
apt	1.7888129949569702	0
retn	2.848299980163574	0
Sesn	-2.0210421085357666	0.0006070000235922635
CG30419	-1.7985750436782837	0
Cyp9c1	2.9648759365081787	0
ST6Gal	4.8719611167907715	0
CR44828	2.265964984893799	0
CG30424	1.8340619802474976	0
Nplp1	-2.001650094985962	0
CR43785	1.5851340293884277	0.006049000192433596
hng3	1.576550006866455	0
Gr61a	2.390439987182617	0
CG9134	1.791661024093628	0.004782000090926886
CG13921	1.6191259622573853	0
SCOT	1.7386939525604248	0
CG45186	1.8212690353393555	0
CG16985	1.6098870038986206	0
CycJ	1.7125300168991089	0
Eip63F-1	-1.629181981086731	0
Faa	1.829406976699829	0.0004820000031031668
Gad1	-1.5975279808044434	0
CG14989	-1.541964054107666	0
mad2	2.74296498298645	0.000039999998989515007
Ets65A	-2.4769299030303955	0.0021619999315589666
CG42747	1.6302260160446167	0
CG18769	1.826159954071045	0
CG32392	1.7902319431304932	0
CG8607	1.5259439945220947	0
CG33275	2.312761068344116	0
nmo	1.5116159915924072	0
CG13679	1.9355219602584839	0.0360260009765625
CG32364	1.6443370580673218	0.008708000183105469
CG17352	3.0831189155578613	0.0026630000211298466
GstO1	2.1582438945770264	0
CG6638	2.0384719371795654	0.00991899985820055
dally	2.051801919937134	0
Hsp67Bc	-2.099637031555176	0
CR43481	1.812108039855957	0.0009410000056959689
Hsp23	1.8852499723434448	0
ghi	1.5390700101852417	0
Mob2	1.728065013885498	0
CG42255	2.2234079837799072	0.0001049999991664663
CG11597	1.6641639471054077	0
CG4300	1.655411958694458	0
CG4328	-2.0942440032958984	0.03928099945187569
CG32105	-2.8932440280914307	0.017815999686717987
Obp69a	3.9615209102630615	0.000007999999979801942
ver	1.5807130336761475	0.00001700000029813964
ara	3.4451510906219482	0
caup	4.093163013458252	0
CR32111	3.5172019004821777	0
CR43431	3.54482102394104	0
mirr	3.793410062789917	0
CG42709	1.8688280582427979	0
CG13737	3.2858150005340576	0
CG6650	1.6246720552444458	0
Sox21b	-3.029426097869873	0.0005939999828115106
D	-2.847407102584839	0.0005610000225715339
ome	-1.6407480239868164	0.0014900000533089042
CG45071	1.5374850034713745	0
CG17026	-2.1994500160217285	0.04378499835729599
l(3)72Dr	2.41090989112854	0
roq	1.5736600160598755	0
HipHop	1.7395000457763672	0
CG6865	5.34578800201416	0
CG32204	-1.6846890449523926	0
sNPF-R	2.132420063018799	0
rdgC	1.6438640356063843	0
CG34261	2.0412089824676514	0.00003099999958067201
AcCoAS	2.002608060836792	0
Edg78E	2.4527089595794678	0.0003150000120513141
CR45674	1.7601029872894287	0.0000019999999949504854
rgn	2.0208098888397217	0
TfAP-2	-2.586076021194458	0.0003330000035930425
CG14459	-2.880673885345459	0
CR43426	2.371553897857666	0
CR45164	1.9601110219955444	0.000014000000192027073
scro	-2.724522113800049	9.999999974752427e-7
TwdlG	1.5499310493469238	0
CR44922	1.5539480447769165	0
CG34112	4.146821975708008	0
CG1124	2.9553298950195312	0.02308499999344349
CG2022	2.9308080673217773	0.02128699980676174
cno	1.9316400289535522	0
Orco	2.157404899597168	0.00003300000025774352
CR43845	1.731361985206604	0
CR44093	1.7274600267410278	0.03622300177812576
Fer1	-2.1341869831085205	0.005398999899625778
CG34384	1.5222179889678955	0
Kmn2	2.506990909576416	0.0001049999991664663
grn	-3.1708900928497314	0.013957999646663666
CG8861	1.963204026222229	0
CG9399	1.6629279851913452	0
CR44938	1.8633650541305542	0.00016700000560376793
hth	2.6298139095306396	0
CR44018	1.9447929859161377	0
CG42633	5.929272174835205	0.000011000000085914508
CG42394	1.7191710472106934	0
CG4565	1.5075229406356812	0
CG12594	-1.7449100017547607	0
CG31345	2.1432199478149414	0
CG7381	2.640850067138672	0
Ace	1.7289049625396729	0
CG8066	2.1063590049743652	0
CG14864	2.2248940467834473	0
ea	1.5525339841842651	0.0005050000036135316
glob1	1.5867279767990112	0
CG6006	-1.507572054862976	0.0021440000273287296
bor	1.864948034286499	0
Sulf1	3.37583589553833	0
Scp2	-1.5658620595932007	0
CG18213	1.8098360300064087	0.000015999999959603883
tinc	1.6282039880752563	0
cpo	1.6303540468215942	0
CG7708	1.93477201461792	0
VAChT	1.6627269983291626	0
Cha	1.9293489456176758	0
CG31221	1.5115549564361572	0
Naam	2.2660369873046875	0
CG17193	2.491245985031128	0
MtnE	3.461872100830078	0
CG5621	1.8919299840927124	0
AnxB9	-1.5685720443725586	0.030500000342726707
ETHR	2.1575419902801514	0.00006399999983841553
C15	5.710471153259277	0
pinta	1.557803988456726	0.049616001546382904
Octbeta1R	2.2158639430999756	0
CG6985	2.8554129600524902	0.03810400143265724
prt	-2.4804599285125732	0.000012999999853491317
crb	-2.0646231174468994	0.03492699936032295
CG5728	1.534472942352295	0
tok	-1.7152080535888672	0
tnc	3.427896022796631	0
CG5890	1.5628670454025269	0
CR44320	1.8230869770050049	0
CG12290	1.8352830410003662	0
CG6425	1.7338279485702515	9.999999974752427e-7
fkh	-3.3795409202575684	0
MRE23	-3.6910979747772217	0.0007960000075399876
TkR99D	-2.0191590785980225	0.034894999116659164
CG15537	2.2779130935668945	0
jdp	-1.9283310174942017	0
zfh1	-2.24824595451355	0.0006249999860301614
Gycbeta100B	1.6751070022583008	0
mesh	4.743206024169922	0
CG34347	-1.7569220066070557	0.021932000294327736
pncr017:3R	2.5134360790252686	0
CG1971	1.9205520153045654	0
ey	-2.287156105041504	0.000018000000636675395
Sox102F	-3.0390419960021973	0.00011600000289035961
toy	-2.9629600048065186	0
CR44892	1.8144949674606323	0.0056039998307824135
Mct1	1.5325700044631958	0.00045900000259280205
CG2680	2.0478620529174805	0
CG2681	1.7141330242156982	0.0000019999999949504854
bi	-2.946739912033081	0
CG7024	2.030266046524048	0
