gene	avg_logFC	pval
MFS3	2.2067201137542725	0.007849999703466892
NLaz	-1.958348035812378	0.016724999994039536
VGlut	3.7741260528564453	0
tim	5.37293004989624	0
vri	6.465487957000732	0
TrissinR	2.3778278827667236	0
nrv1	4.256653785705566	0
Pvr	2.966510057449341	0
Myo31DF	2.138617992401123	0.005121000111103058
Trim9	-1.6210570335388184	9.999999974752427e-7
AstC	5.623388767242432	0
salr	-2.914275884628296	0.0020719999447464943
salm	-2.7466349601745605	0.009829999879002571
CG31760	2.0658369064331055	0
CG6405	3.471174955368042	0.004040000028908253
dac	-3.6866719722747803	0
ham	2.4787349700927734	0.000003999999989900971
tup	-3.1477699279785156	0.004296000115573406
Side	1.6655349731445312	0
Lim3	-2.9117419719696045	0.0395440012216568
CG43861	2.057420015335083	0.000003000000106112566
pr	1.5802240371704102	0
CG34136	2.5794999599456787	0.0005830000154674053
nompB	3.6359810829162598	0
Df31	1.6220769882202148	0
ap	2.698544979095459	0
CCHa2-R	2.2679378986358643	0.001117000007070601
CG1707	1.680577039718628	0
Optix	-2.9808828830718994	0.0030090000946074724
ltd	2.69132399559021	0.002242000075057149
Mmp2	1.9252099990844727	0
CG2269	1.8908209800720215	0
CG13229	2.1806859970092773	0.000009000000318337698
CR45312	-1.5282299518585205	0
Vkor	2.115211009979248	0.0009159999899566174
dpr13	1.6263829469680786	0
sano	-1.6250079870224	0.004658999852836132
Rgk1	-1.7551569938659668	0
Arl6	4.680165767669678	0.009883999824523926
Magi	1.8740489482879639	0
Pu	2.013195037841797	0
CG15666	3.940880060195923	0.02792299911379814
CngB	1.740257978439331	0
dve	1.8855619430541992	9.999999974752427e-7
CG34423	-2.4984130859375	0.03171800076961517
CG13579	-2.373694896697998	0.04002700001001358
hipk	1.8668709993362427	0
dpr20	-2.016495943069458	0
CG13936	6.94959020614624	0.006568000186234713
MsR2	1.8131170272827148	0.00330700003542006
CG14966	1.6826839447021484	0
Eip63F-1	2.457331895828247	0
CG33993	3.0826621055603027	0
loj	1.5996190309524536	0
Ets65A	-3.0126399993896484	0.03483299911022186
vvl	-2.540074110031128	0
CG8641	-2.0263030529022217	0.000014999999621068127
Clk	6.295351982116699	0
Pdp1	1.9839229583740234	0
TrpA1	2.841728925704956	0.021467000246047974
CG5644	-2.266227960586548	0.009851000271737576
Hsp67Bc	-2.1645278930664062	0.000025999999706982635
Hsp23	1.9269299507141113	0
Hsp27	1.8659729957580566	0.00008099999831756577
Rh7	1.9010030031204224	0
mirr	-2.5433928966522217	0.04670599848031998
trn	-2.233474016189575	0
caps	-1.8060189485549927	0
CG10738	1.7918620109558105	0.013685000129044056
bru-3	2.1720850467681885	0
Sox21b	1.6020090579986572	0
D	1.7193230390548706	0
Sytbeta	1.8091959953308105	0
CrebA	1.8185499906539917	0.000007999999979801942
CG13054	6.174883842468262	0
CG43373	1.719001054763794	0
CG9705	2.1446878910064697	0
CG5567	1.6311290264129639	0
AstC-R2	1.665884017944336	0
CG14086	2.0947890281677246	0.02768000029027462
Ac76E	-1.5599830150604248	0.019825000315904617
CG5910	2.403454065322876	0.004720999859273434
ebd2	1.6928950548171997	0.00012099999730708078
TfAP-2	-2.2125399112701416	0.031014999374747276
CG14459	-3.653193950653076	0.00007699999696342275
CG33169	2.212657928466797	0
scro	-2.27374005317688	0.017358999699354172
mAChR-B	1.5711970329284668	0
Dh44	2.917781114578247	0
Rfx	3.580203056335449	0
cwo	2.431138038635254	0
TkR86C	1.7062079906463623	0.000004999999873689376
CG6959	1.721629023551941	0
CG9796	1.7186909914016724	0.007784999907016754
pxb	-1.7631169557571411	0.00003300000025774352
CG6006	-1.7830859422683716	0.003932000137865543
Gyc-89Da	2.8405239582061768	0.004025000147521496
CG18599	5.62448787689209	0
gl	6.151224136352539	0
VAChT	-1.5255850553512573	0
CG31475	2.2116360664367676	0
cry	3.949660062789917	0
Dl	4.266866207122803	0
CG3822	1.5185610055923462	0
CG12278	4.31643009185791	0.006353000178933144
dnd	3.6840810775756836	0.000009000000318337698
CG13408	2.0446269512176514	0
Irk1	4.239809036254883	0
CG13827	1.5857889652252197	0.021472999826073647
CG34355	1.5554050207138062	0
CG31075	1.623779058456421	0.01674499921500683
CG34353	1.6954900026321411	0
fkh	-4.067235946655273	0.000006000000212225132
MRE23	-5.273739814758301	0.04249100014567375
Dr	4.322666168212891	0
CG15537	2.366950035095215	0
zfh1	-2.6284759044647217	0.04003399983048439
Gycbeta100B	-2.1374800205230713	0
CG11334	1.5861279964447021	0.003019999945536256
myo	-2.3720779418945312	0.0078039998188614845
ey	-2.692502975463867	0.0018690000288188457
toy	-1.7440019845962524	0
O-fut2	1.5241219997406006	0.000045000000682193786
CG17777	6.9741010665893555	0
Mct1	3.327131986618042	0
Pdfr	3.450054883956909	0
CG13759	1.9538990259170532	0
per	2.7216079235076904	0
bi	2.4137940406799316	0
CG3009	-1.9892300367355347	0
Tbh	2.8585469722747803	0
oc	3.1207430362701416	0
Cht6	3.299604892730713	0
CG1572	1.980357050895691	0.046431999653577805
acj6	-3.01377010345459	0.0009660000214353204
Ac13E	1.7328490018844604	0
CG12994	-1.5435149669647217	0.03322700038552284
CG6023	2.644995927810669	0.009883999824523926
CG6123	1.914070963859558	0
out	3.353774070739746	0.0024250000715255737
CG32532	-4.047022819519043	0.01723800040781498
