gene	avg_logFC	pval
CG4577	1.8596149682998657	0
MFS3	1.864009976387024	0.018209999427199364
CG3165	1.516340970993042	0
CG7191	2.3922269344329834	0.03653499856591225
Apoltp	1.520393967628479	0.000025999999706982635
CG4901	1.8185460567474365	0.003731000004336238
salr	-3.2305989265441895	0.017985999584197998
JhI-21	4.667694091796875	0
CG31760	1.5788609981536865	0
CG9302	1.7055070400238037	0.00009999999747378752
CG9008	-3.2048959732055664	0.03190099820494652
rk	1.507614016532898	0.01960200071334839
CG13284	1.6908539533615112	0
CG17597	2.5524520874023438	0.04331500083208084
tup	2.1995110511779785	0
Ddc	2.4298388957977295	0
bsh	2.711538076400757	0.0013670000480487943
sNPF	-1.8674410581588745	0.0002849999873433262
CG34137	1.994339942932129	0.009727999567985535
CG1707	2.1895129680633545	0
VhaAC45	1.529191017150879	0
CG2269	2.7880799770355225	0
CG7637	1.533100962638855	0
CG8407	1.5201189517974854	0.0014039999805390835
CG17574	1.5076320171356201	0
Dh31-R	1.5224629640579224	0
Vmat	8.41894817352295	0
CG13330	6.175434112548828	0.00015500000154133886
CG6145	1.618291974067688	0
AttA	3.394500970840454	0.0038240000139921904
DAT	8.991867065429688	0
Vkor	2.1335599422454834	0.004751000087708235
mbl	2.0426220893859863	0
CG15082	4.179470062255859	0.000018999999156221747
CR44628	1.9465709924697876	0.0005310000269673765
Nnf1a	1.6721400022506714	0.0010939999483525753
hbn	1.8544650077819824	0.0033740000799298286
Magi	1.7375940084457397	0
Pu	3.1985630989074707	0
CngB	1.955610990524292	0
CG13502	2.185436964035034	0.004052000120282173
dve	3.3147590160369873	0
Pal2	1.8211660385131836	0
Dat	-1.941720962524414	0
nord	2.445573091506958	0
CG13579	1.7517139911651611	0
CG3608	1.6705950498580933	0.028582999482750893
Dll	1.6439180374145508	0.010367999784648418
lov	1.950706958770752	9.999999974752427e-7
Kr	2.0578620433807373	0.00004999999873689376
SCOT	1.9673340320587158	0.000012000000424450263
CG1275	2.588576078414917	0
Gad1	-1.8593889474868774	0.000006000000212225132
CG14989	-1.8189380168914795	0
Ras64B	1.5597829818725586	0
CG13288	2.159467935562134	0.003478999948129058
CG33993	2.4498538970947266	9.999999974752427e-7
loj	1.6081080436706543	0
Ets65A	2.08870792388916	0
ple	9.152462005615234	0
CG8641	1.579988956451416	0
Dhpr	2.88822603225708	0
Hsp23	2.3008930683135986	0
CG42673	1.5866459608078003	0
Pallidin	1.8044110536575317	0
CG10738	2.234208106994629	0.000022000000171829015
Sytbeta	1.7105000019073486	0
CG32147	1.7442200183868408	0
CrebA	2.187635898590088	0
CG7510	1.7571220397949219	0
Grd	2.2588229179382324	0.02008800022304058
grim	1.6379649639129639	0.0006949999951757491
Oct-TyrR	1.9973859786987305	0
CG33169	1.5673550367355347	0
CG40467	2.7945899963378906	0
CG42623	1.5308599472045898	0
CG41281	1.7290929555892944	0.011777999810874462
CD98hc	1.5342379808425903	0
CG2767	1.551164984703064	0.000015999999959603883
5-HT2B	1.601747989654541	0
CG8132	1.6889220476150513	0
Dh44	1.6903109550476074	0.0005080000264570117
CR44938	2.235429048538208	0.0313589982688427
CG14695	2.4687979221343994	0.01895499974489212
CR43283	-2.0865960121154785	0.00045200000749900937
pros	-2.542992115020752	0
CG5281	1.695723056793213	0
CG14715	1.5310089588165283	0
Cad87A	2.468945026397705	0
CG8066	1.5527640581130981	0.00001700000029813964
Gyc-89Da	4.0763630867004395	0
Gyc-89Db	2.7689900398254395	0
Lgr1	1.8054310083389282	0.0006549999816343188
sr	1.5217210054397583	0
CG7708	-2.6061770915985107	0
VAChT	-2.8745639324188232	0
Cha	-2.2645599842071533	0
CG31475	1.6877919435501099	0
Dl	1.7982280254364014	0.022898999974131584
Arc42	2.352004051208496	0
CG17193	1.6123080253601074	0
CG12278	4.396676063537598	0.02201800048351288
Eip93F	1.827651023864746	0
CG5379	1.573415994644165	0
Irk1	2.3585829734802246	0.011803999543190002
orb	2.324673891067505	0
CG43222	1.982023000717163	0
CG11089	2.1672348976135254	0.001145999995060265
pll	2.3708600997924805	0.017256999388337135
fkh	-2.569521903991699	0.022254999727010727
Dop1R2	-1.8871749639511108	0.00011200000153621659
Pcd	2.1438989639282227	0
AdoR	1.6405260562896729	0.03398500010371208
zfh1	2.026181936264038	0
CG11317	1.7777190208435059	0
CG11334	1.6262949705123901	0.00042100000428035855
CR45557	1.6229259967803955	0.00023499999952036887
CG31997	-2.3936541080474854	0.00048099999548867345
Lin29	-2.294358968734741	0
fd102C	3.951211929321289	0
CG13759	3.005453109741211	0
Imp	2.5661840438842773	0
roX2	-1.7079839706420898	0
hec	1.897199034690857	0.000029999999242136255
CG32638	2.0397191047668457	0
acj6	-2.9375109672546387	0.025774000212550163
AnxB11	1.837689995765686	0
CG32532	2.6586999893188477	0
Nep3	1.6103160381317139	0
Dop2R	2.469438076019287	0
