gene	avg_logFC	pval
Cda5	1.6748850345611572	0
CG4297	3.6600499153137207	0
ush	4.215263843536377	0
CG4341	-2.7369489669799805	0
IA-2	-2.2135701179504395	0
CG14342	5.7274980545043945	0.022319000214338303
lea	-2.542668104171753	0.007277000229805708
haf	1.6201139688491821	0
CG31937	1.7204229831695557	0.005812999792397022
CG17646	-1.742197036743164	0.00033099998836405575
wry	-2.3622500896453857	0
CG33543	-2.7464709281921387	0
dpr3	-2.130851984024048	0
eys	-2.5582170486450195	0
VGlut	-1.8829569816589355	0
CG31690	-1.8124109506607056	0
CG2991	2.5510621070861816	0
CG34393	-2.757240056991577	0.01089600007981062
fred	-1.7550920248031616	0
ed	-1.66239595413208	0
CG15431	1.634592056274414	0
CG34351	2.2116661071777344	0
pog	-2.6123900413513184	0
pgant5	2.399482011795044	0
CG31646	-3.226499080657959	0
TrissinR	-2.7865560054779053	0.001383999944664538
CG11320	7.7513017654418945	0
CR44914	4.854107856750488	0
Pvf3	-3.0957119464874268	0
Ndae1	1.539870023727417	0
Proc	-1.6014859676361084	0.01165900006890297
Bsg	1.5650399923324585	0
Btk29A	-2.845810890197754	0
Dh31	6.867914199829102	0
SoxN	2.782879114151001	0
CG31708	-4.42226505279541	0.009104999713599682
Shawl	-3.364622116088867	0
CG3838	1.5012539625167847	0
GlcAT-S	-2.058250904083252	0
CG44153	-2.994715929031372	0
Trim9	-1.925686001777649	0.0000019999999949504854
CG31869	1.5700039863586426	0.000014999999621068127
Nos	3.3369240760803223	0
salr	-3.025315046310425	0.004046999849379063
CG14946	-2.218369960784912	0.011382999829947948
CR43051	3.1308720111846924	0.007718000095337629
CG43778	1.8081159591674805	0
CG31814	-1.8733400106430054	0
CG17341	-2.6177620887756348	0
CG42313	-2.2131550312042236	0
CG4168	-2.0608649253845215	0
yuri	3.4534709453582764	0.00007100000220816582
CG42817	4.187780857086182	0
dac	-3.2375779151916504	0.000007000000096013537
CG13284	1.646818995475769	0
CadN2	-2.5607070922851562	0
CR45332	-3.8156020641326904	0.000007000000096013537
CR45333	-2.797122001647949	0.04457100108265877
rdo	-2.639807939529419	0.0007869999972172081
tup	-3.6401150226593018	0.005539000034332275
Ddc	-2.0716569423675537	0
CG33116	1.769618034362793	0
CG43861	1.7868260145187378	0.00011999999696854502
sNPF	-2.0910069942474365	0
CG10947	3.913706064224243	0
Hr38	1.8973109722137451	9.999999974752427e-7
vari	-2.1274619102478027	0.000022000000171829015
tadr	1.5254180431365967	0
Nhe2	1.533774971961975	0
CG31619	-2.418379068374634	0
tio	-2.2137351036071777	0.037372998893260956
CR45139	-2.007519006729126	0.03726299852132797
scaf	2.3680520057678223	0.003148999996483326
dpr12	1.5783259868621826	0
Epac	-2.4014980792999268	0
CG30158	-2.0808770656585693	0
CG30156	1.7286299467086792	0.0015589999966323376
CG1707	1.6067270040512085	0
Corin	-1.9241019487380981	0
CG11191	1.5691089630126953	0
Optix	-3.7123730182647705	0.004228999838232994
lig	1.7474969625473022	0
pdm3	2.0479819774627686	0
CG11635	1.5508040189743042	0.0015450000064447522
mtt	-2.2840139865875244	0
CG34219	2.1868529319763184	0
CG8216	-1.9351290464401245	0
hig	-2.3269460201263428	0
CG13954	-2.359005928039551	0
CG13739	-3.523508071899414	0
Mmp2	3.208709955215454	0
CG1688	-3.0952260494232178	0
Lsm11	2.3390920162200928	0.006752000190317631
Pka-R2	1.8239799737930298	0
14-3-3zeta	1.8873540163040161	0
CAP	-1.8152810335159302	0.0260429996997118
CG42732	-2.6463539600372314	0
CG30015	-2.250214099884033	9.999999974752427e-7
luna	-3.4068961143493652	0
Zip48C	1.6147639751434326	0.00021899999410379678
CG42700	3.0905590057373047	0
CG8839	2.0860910415649414	0
Dyb	1.5332629680633545	0
Dh44-R2	2.3886780738830566	0
s-cup	4.463540077209473	0
Drl-2	2.3784561157226562	0
CR45312	-3.910506010055542	0
fas	-2.2718589305877686	0
CG42806	2.6351869106292725	0
mspo	1.784332036972046	0
Trpm	2.0623939037323	0
CG42524	-2.7477939128875732	0
CG30089	-1.9954700469970703	0
Poxn	7.437814235687256	0
CG15704	-1.9549449682235718	0
Sema-2b	-2.3573460578918457	0
CG8910	1.5755629539489746	0
Cbp53E	-2.391347885131836	0
mbl	-2.0879569053649902	0
CR44417	1.5129059553146362	0
dpr13	-2.4260809421539307	0
GstE11	1.8616299629211426	0.024973999708890915
Rgk2	-2.4164741039276123	0
GEFmeso	-2.5255908966064453	0.000009999999747378752
Hs3st-A	-2.0978660583496094	0
CG15097	-1.8127540349960327	0.029980000108480453
cora	1.8172860145568848	0
dpr	-2.6761059761047363	0
ktub	3.121623992919922	0
Rgk3	1.579606056213379	0
cv-2	2.290308952331543	0
CG10440	-2.9911301136016846	0.000029000000722589903
CG34370	1.5035589933395386	0
a	2.588399887084961	0
ventrally-expressed-protein-D	1.8857799768447876	0
CG10384	-2.526247024536133	0
CG9896	-4.1527628898620605	0.0035349999088793993
CG34371	-2.9797189235687256	0
CG43795	-3.5369839668273926	0
CG5549	1.5227279663085938	0
Dat	3.468327045440674	0
CG30419	2.5873401165008545	0
nord	-2.3437271118164062	0.001728000002913177
nvy	3.3424301147460938	0
mAChR-A	1.7072349786758423	0
CG13594	-2.265291929244995	0
CG44247	1.6673810482025146	0
CR43334	1.7339669466018677	0
emc	-3.219228982925415	0
dpr20	-2.5901100635528564	0
CG9119	-2.9930388927459717	0.008224000222980976
CG32333	-1.6525110006332397	0
rho	-1.6253960132598877	0.00011600000289035961
CG7991	-2.170470952987671	0.005305000115185976
Pxn	-1.9731559753417969	0.0000019999999949504854
Shab	-2.752295970916748	0
FMRFaR	-1.7427819967269897	0.017906999215483665
CycJ	1.9496920108795166	0.000029999999242136255
Eip63F-1	1.7045749425888062	0
scrt	-1.6271779537200928	0
Gad1	3.607228994369507	0
CG14989	4.980971813201904	0
VhaM9.7-c	1.8325660228729248	0.0019570000004023314
DopEcR	-3.3574368953704834	0
RhoGEF64C	5.961507797241211	0.027543000876903534
CG17150	5.711964130401611	0.01077600009739399
CG34391	1.9352279901504517	0
PVRAP	-2.846985101699829	0
sfl	1.7106870412826538	0
jv	4.15771484375	0.00015300000086426735
GluRIA	-3.4697210788726807	0
CG32392	2.746838092803955	0
vvl	-2.5076611042022705	0
CG8641	-1.9344860315322876	0.0002800000074785203
Dscam2	-2.8176090717315674	0
qm	1.9551140069961548	0
CG42458	-3.0333540439605713	0.03178900107741356
CG13685	-1.6936919689178467	0
CG6983	3.430143117904663	0
CR43910	3.7506890296936035	0.000009999999747378752
CG6282	1.8290770053863525	0
Fhos	1.7525609731674194	0.0008670000243000686
Tsp66E	-2.042897939682007	0
Rdl	1.7797739505767822	0
GluRIB	-3.137303113937378	0
Hsp67Bc	-2.6705551147460938	0.000011000000085914508
Hsp67Ba	-2.1076459884643555	0
Hsp23	-2.2502191066741943	0.000754999986384064
CG42673	-3.0187320709228516	0.000003999999989900971
CG33696	2.2037479877471924	0
dpr6	-2.0589699745178223	0
CR44327	-2.4160261154174805	9.999999974752427e-7
CR44347	2.634629011154175	0.004046000074595213
CG14142	4.154620170593262	0.000003999999989900971
GlcAT-P	1.888113021850586	0
CG32091	6.699759006500244	0
CG44837	1.9886139631271362	0
Rh7	3.585598945617676	0
app	-2.14560604095459	0
CG10688	1.9783929586410522	0
ara	6.517064094543457	0
caup	6.692899227142334	0
CR32111	4.460299015045166	0
trn	-2.582927942276001	0
CG10738	3.674475908279419	0
bru-3	2.1345770359039307	0
CG8757	3.933727979660034	0
CG32137	2.388439893722534	0
Sox21b	3.994745969772339	0
D	4.924804210662842	0
Sytbeta	2.8589680194854736	0
Toll-6	-3.658813953399658	0
CG12355	-1.966181993484497	0
CrebA	1.7364959716796875	0.000011000000085914508
pHCl	1.5084179639816284	0
Pka-C3	3.0355350971221924	0
CG44836	6.64545202255249	0.004422999918460846
Abl	-1.520719051361084	0
Lmpt	2.017016887664795	0
Ccn	2.875960111618042	0
AstC-R2	-2.3675899505615234	0.00004600000102072954
MYPT-75D	-1.8062050342559814	0
CG32204	-2.834744930267334	0
CG14082	-2.226619005203247	0.000029999999242136255
Ac76E	3.2803220748901367	0
CG7646	1.7898260354995728	0
sNPF-R	-2.6462008953094482	0.0010110000148415565
CG42674	1.6715060472488403	0
rdgC	-2.6646530628204346	0
CG32432	1.8972619771957397	0
Ac78C	2.6409919261932373	0
CG10508	1.5575350522994995	0
TfAP-2	-2.844651937484741	0.03478199988603592
mub	2.725451946258545	0
Oct-TyrR	-3.0376720428466797	0
CG33169	2.1438400745391846	0
CR45758	-1.8195639848709106	9.999999974752427e-7
scro	-3.5663039684295654	0.0012290000449866056
CG42402	-2.8565309047698975	0
CG34357	2.096966028213501	0
5-HT2A	1.8784630298614502	0
dpr16	-3.1791439056396484	0.000019999999494757503
cno	1.9738850593566895	0
CG12163	1.85337495803833	0
Orco	2.5298800468444824	0.0018469999777153134
CG2082	-2.091996908187866	0
CG34113	-2.0289409160614014	0
Dmtn	1.5273940563201904	0
rn	-2.5188040733337402	0.000029000000722589903
alpha-Est9	-1.6489850282669067	0
CG34127	-3.765310049057007	0
CG34384	-2.788465976715088	0
grn	5.2363080978393555	0
CG45263	-2.7321488857269287	0
5-HT2B	3.4380369186401367	0
CG9801	1.7493170499801636	0
pum	1.8973610401153564	0
CG8861	-2.262787103652954	0
Best1	-2.0272738933563232	0.0028750000055879354
CG42795	1.7419500350952148	0
Mcm5	7.4807047843933105	0
CG14687	8.585185050964355	0
dpr5	-3.551640033721924	0
CG6959	2.0604639053344727	0
Cad87A	1.8826309442520142	0
CG14741	-3.5651919841766357	0.006300000008195639
dpr17	-2.74652099609375	0
dpr15	-2.431688070297241	0.00013600000238511711
beat-Vc	-2.617750883102417	0.00003400000059627928
beat-Va	-2.8261260986328125	0
CG10126	2.2075910568237305	0.000022000000171829015
beat-Vb	-2.9930920600891113	0
CG14372	-1.7386020421981812	0.000003000000106112566
Kif19A	2.7228479385375977	0.013477000407874584
cv-c	4.705282211303711	0
kibra	1.9627790451049805	0
btsz	4.186816215515137	0
dpr9	-3.0563371181488037	0
CG42788	-1.6421539783477783	0
pxb	-2.4848570823669434	0.000007999999979801942
glob1	2.366050958633423	0
CG6006	3.99251389503479	0
Sulf1	-2.877629041671753	0.039048001170158386
Scp2	-2.12283992767334	0
beat-IIb	-2.7626049518585205	0
beat-IIa	-2.9344489574432373	0
tinc	3.239187002182007	0
sr	1.720378041267395	0
CG7985	2.6867880821228027	0
CG18598	5.758488178253174	0
CG15803	-2.0456418991088867	0
fru	-2.2267069816589355	0
VAChT	-1.8471299409866333	0
CG18208	3.378645896911621	0
CG14298	6.263465881347656	0
CG42613	1.7622640132904053	0
Ppcs	1.9584239721298218	0
CG31221	-1.8280500173568726	0
CG6231	2.0850560665130615	0
GluClalpha	-3.0795090198516846	0
Hs6st	2.0471510887145996	0
Nlg4	-2.8307011127471924	0
Gfrl	-2.6604409217834473	0
Oamb	3.261281967163086	0
TotA	-3.2094180583953857	0.02732500061392784
CG10830	-2.7837328910827637	0
Calx	-2.9684770107269287	0
ETHR	4.630782127380371	0
Eip93F	2.2682089805603027	0
Octbeta1R	-3.053184986114502	0
Efa6	1.843353033065796	0
wake	-2.699359893798828	0
CG13830	-1.6660170555114746	0
beat-IV	-1.9918179512023926	0
prt	1.8624980449676514	0
CG34355	-3.4398910999298096	0
crb	3.1892099380493164	0
CG5728	3.8466899394989014	0
mld	-1.7398580312728882	0.005456000100821257
CG33096	1.5536079406738281	0.024309000000357628
danr	-2.913285970687866	0.016404999420046806
CG13654	2.2860639095306396	0
LpR1	2.65814208984375	0
CG14354	9.992980003356934	0
CG14545	8.560654640197754	0
CG12290	-1.5090060234069824	0.005045999772846699
CG6154	-3.417275905609131	0
scrib	2.0943100452423096	0
amon	2.3696250915527344	0
CG34362	-3.1383209228515625	0
CG34354	-3.082235097885132	0
fkh	-2.4617230892181396	0.004157000221312046
AstA-R2	5.30280876159668	0.003085999982431531
CG14521	-2.8698248863220215	0
CG14509	-2.3313488960266113	0
Dr	5.216817855834961	0
alph	2.192950963973999	0
Dop1R2	-2.5770199298858643	0
Pcd	1.5513969659805298	0
CG15522	-2.3149490356445312	0.000011000000085914508
hdc	-1.6320769786834717	0
jdp	4.04972505569458	0
CG34155	2.5742950439453125	0
cindr	-1.546815037727356	0
5-HT7	4.844752788543701	0
CG31007	3.8471860885620117	0.004579999949783087
Gprk2	2.071500062942505	0
CG11334	1.7421109676361084	0.002698000054806471
heph	-1.9007350206375122	0
CG31997	-2.814639091491699	0.000003999999989900971
zfh2	-1.6750550270080566	0.0000019999999949504854
ey	-2.449310064315796	0.010199000127613544
mGluR	-2.805445909500122	0
toy	-2.560502052307129	0
sv	5.064283847808838	0
CG17778	2.0047481060028076	0
Adar	2.4692060947418213	0
HLH3B	4.607865810394287	0
CG42541	1.9491020441055298	0
Fas2	3.3185529708862305	0
bi	-2.9292891025543213	0
CG3009	-2.8368680477142334	0
CG42594	-2.7027199268341064	0
CG42265	-1.7554999589920044	0
Tsp5D	2.026556968688965	0
Nep1	5.408021926879883	0
Ca-alpha1T	-1.5830210447311401	0
C3G	1.7075860500335693	0
CG14431	-2.8472859859466553	0.0015490000369027257
CG12541	1.8615950345993042	0
CG9650	-3.270163059234619	0.0001610000035725534
brk	2.0038950443267822	0.00004400000034365803
ct	-1.8466349840164185	0.000004999999873689376
CG15478	2.267496109008789	0.000004999999873689376
CG1402	3.4558210372924805	0
CG18624	2.1073739528656006	0.020253999158740044
Tbh	3.9892690181732178	0
sdt	1.7701410055160522	0
nAChRalpha3	-2.6717100143432617	0
CG33181	1.5761439800262451	0
Lim1	3.0384440422058105	0
mgl	-2.2335031032562256	0
CG32700	1.5110520124435425	0
CG43740	2.206451892852783	0
CG15210	4.733027935028076	0
CG32669	7.862922191619873	0
CG42339	-1.764847993850708	0.00005900000178371556
CG44422	1.91634202003479	0
Tomosyn	2.559415102005005	0
Pde9	2.164992094039917	0
hec	1.9737789630889893	0.000004999999873689376
rad	2.426124095916748	0
Neto	-4.025261878967285	0.0004870000120718032
mamo	2.6696810722351074	0
dpr8	-2.817034959793091	0
eag	-2.001893997192383	0
acj6	-2.6431100368499756	0.007577000185847282
Ac13E	1.726462960243225	0
dpr18	-2.643735885620117	0
disco	-4.409873962402344	0.039494000375270844
CG4829	1.762660026550293	0
CG12994	-2.0803489685058594	0.008616000413894653
CG12672	1.9432510137557983	9.999999974752427e-7
Frq1	-3.457916021347046	0
Frq2	-2.0694971084594727	0
CG6123	-2.917494058609009	0
CG32547	-2.248769998550415	0.004131000023335218
CG43759	2.717116117477417	0
RhoGAP18B	2.343374013900757	0
rictor	2.193882942199707	0
nAChRalpha7	2.8645710945129395	0
Mer	1.9974600076675415	0.0007389999809674919
Dop2R	-3.982434034347534	0
CG1504	-2.5309360027313232	0.005679000169038773
shakB	-1.6942009925842285	0
CG42343	-2.278286933898926	0.0005329999839887023
CG42346	-1.5634909868240356	0.000007999999979801942
