gene	avg_logFC	pval
CG4297	3.0404129028320312	0
ush	3.9380640983581543	0
GABA-B-R3	2.945280075073242	0
CG4341	-1.7566790580749512	0
IA-2	-2.3409860134124756	0
CG4629	-1.7267309427261353	0
lea	-3.004122018814087	0.0007609999738633633
CG17646	-1.7617779970169067	0.000012999999853491317
CG7337	-1.552217960357666	0
CG33543	-2.598262071609497	0
dpr3	-1.6332520246505737	0.000022000000171829015
VGlut	-1.8685749769210815	0
oaf	-1.6229280233383179	0
CG31690	-2.3354909420013428	0
CG2991	2.122236967086792	0
CG34393	-2.476125955581665	0.013617999851703644
CG10019	-2.736294984817505	0.00013000000035390258
Atet	2.64969801902771	0
CG31646	-3.0427489280700684	0
TrissinR	-3.146101951599121	0.0004780000017490238
CG11221	2.5467700958251953	0
Pvf3	-2.1619338989257812	0
Ndae1	1.5677310228347778	0
CG13796	3.085400104522705	0.009898999705910683
CG8419	5.37229585647583	0.0065750000067055225
Btk29A	-3.2968099117279053	0
Dh31	5.553391933441162	0
PrBP	-1.563420057296753	0
SoxN	3.8014280796051025	0
CG31708	-2.805752992630005	0.04294599965214729
CG32982	-1.601639986038208	0
Ggamma30A	-2.7695229053497314	0
Shawl	-2.218838930130005	0
GlcAT-S	-3.1121439933776855	0
Trim9	-1.5248359441757202	0.000007000000096013537
dpr2	-1.8437570333480835	9.999999974752427e-7
ab	-3.029146909713745	0
salr	-3.52760910987854	0.0015709999715909362
salm	-3.1510000228881836	0.014654000289738178
CG14946	-1.9996930360794067	0.011218000203371048
kek1	-2.956115961074829	0
CG9932	1.5390759706497192	0
CG43778	1.9639710187911987	0
CG42784	-1.9654330015182495	0
CG31814	-2.3178389072418213	0
CG9008	-2.2557590007781982	0.02810399979352951
CG17341	-2.568161964416504	0
CG4168	-1.6900919675827026	9.999999974752427e-7
yuri	3.886159896850586	0.0000470000013592653
beat-Ic	-2.5550360679626465	0
CG42817	4.429800987243652	0
dac	-3.559283971786499	0.0000019999999949504854
grp	1.8869459629058838	0
CG13284	1.7023260593414307	0
beat-IIIb	-1.947422981262207	0
beat-IIIc	-2.3279900550842285	0
CadN2	-1.828320026397705	0
rdo	-2.6460530757904053	0.0010580000234767795
CG42750	-1.9368300437927246	0
tup	-2.6593070030212402	0.012180999852716923
drl	-1.5364350080490112	0.000015999999959603883
CG10137	1.5079749822616577	0
CG33116	3.251434087753296	0
CG43861	1.9019370079040527	0.001227000029757619
CG10947	2.1503241062164307	0
Hr38	2.2741920948028564	0
vari	-2.784632921218872	0
CG14401	4.744421005249023	0.000056000000768108293
Nhe2	1.875311017036438	0
CG31619	-2.5936601161956787	0
l(2)41Ab	-1.6070280075073242	0.00004600000102072954
scaf	5.091561794281006	0
Epac	-1.5440620183944702	0
Corin	-1.8298920392990112	0
Dgk	-1.9353710412979126	0.001154000055976212
CG11191	1.7687480449676514	0
Optix	-2.777754068374634	0.020944999530911446
pdm3	1.7217530012130737	0
mtt	-2.8671350479125977	0
rgr	3.9468600749969482	0
RyR	1.5797139406204224	0
CG34219	1.996940016746521	0
CG8216	-2.4101319313049316	0
hig	-1.8727190494537354	0
CG13954	-3.5255000591278076	0
CG13739	-3.2934200763702393	0
Pdk	1.972267985343933	0
Mmp2	3.797499895095825	0
14-3-3zeta	1.8022940158843994	0
luna	-3.3739209175109863	0
CG13203	2.8686399459838867	0.03226900100708008
SmD3	1.5842779874801636	0
CG42700	2.8692069053649902	0
CG8839	2.6492080688476562	0
Dh44-R2	3.5464940071105957	0
s-cup	4.406936168670654	0
CG30053	5.954686164855957	0
Drl-2	3.3433239459991455	0
CG13325	2.048369884490967	0
Dh31-R	2.582592010498047	0
CR45312	-4.286647796630859	0
CR44366	5.8340020179748535	0
fas	-1.892014980316162	0
CG42806	2.1862359046936035	0
CG8503	3.324345111846924	0.0010870000114664435
Dh44-R1	1.6739259958267212	0
L	1.552564024925232	0
