gene	avg_logFC	pval
CG3625	1.5046329498291016	0
ush	-1.663167953491211	0.0016830000095069408
CG11835	3.782263994216919	0
GABA-B-R3	-2.835016965866089	0
CG4341	-2.1788299083709717	0
robo3	-3.0487539768218994	0
NLaz	-2.9712560176849365	0
lea	-3.535841941833496	0
haf	-3.0087499618530273	0
erm	-2.873292922973633	0.0021619999315589666
dpr3	-2.741163969039917	0
VGlut	-1.8795150518417358	0
CG31690	-2.2158360481262207	0
CG34393	-2.8813819885253906	0
CR45706	-2.6236050128936768	0.002423000056296587
CG3277	-2.706063985824585	0.00021100000594742596
CG2772	2.9626080989837646	0
tim	-1.6288779973983765	0.0002969999914057553
CG34340	-2.1008079051971436	0.000009999999747378752
CG10019	1.646049976348877	0
fred	-3.4588189125061035	0
CG34351	-2.70786190032959	0
CG15630	2.506661891937256	0
CG14044	2.00498104095459	0.0000019999999949504854
CG14010	-3.049838066101074	0
CG31646	-3.042968988418579	0
CG11030	-2.361525058746338	0
TrissinR	-2.748059034347534	0
CG9016	-2.9780850410461426	0.00018000000272877514
CG9109	-2.0408480167388916	0.024190999567508698
CG34380	-3.0825839042663574	0
Ddr	-2.7801640033721924	0
CG42368	-2.68625807762146	0
TTLL3A	4.723453998565674	0.002432999899610877
CG11221	2.0863869190216064	0
Pvf3	-3.3285939693450928	0
Wnt4	-3.429703950881958	0
CG5973	-1.6615790128707886	0
Slob	2.3266870975494385	0
CG12560	3.579482078552246	0
SLC5A11	-2.036268949508667	0.0017419999931007624
Pvr	-2.499048948287964	0.000007000000096013537
Btk29A	-2.568406105041504	0
CG14274	-2.390007972717285	0
fu12	-2.169015884399414	9.999999974752427e-7
Dh31	-1.5121400356292725	0
SoxN	-3.0492279529571533	0
CG31708	-2.577984094619751	0
CG32982	-2.4368081092834473	0
Shawl	2.0387840270996094	0
Pka-C1	3.2815051078796387	0
nAChRalpha6	1.833441972732544	0
bib	-3.4306728839874268	0.013825000263750553
CG44153	-3.3298680782318115	0
Trim9	-2.9674301147460938	0
Nos	-2.4099318981170654	0
dpr2	-3.0452959537506104	0
CG4788	1.5982370376586914	0
ab	3.205738067626953	0
salr	-3.280466079711914	0
salm	-3.1097989082336426	0
kek2	-3.053170919418335	0
Pde1c	1.8210560083389282	0
CG14946	-3.0014491081237793	0
bru-2	4.434123992919922	0
CR43051	2.423577070236206	0.0016110000433400273
pdm2	-2.459350109100342	0.04788900166749954
CG9932	-2.2930119037628174	0
CG42809	2.792720079421997	0.000007999999979801942
CR45684	2.183542013168335	9.999999974752427e-7
kuz	1.9494229555130005	0
CG31814	-2.6162381172180176	0
CG9008	-2.660167932510376	0
rk	-3.378045082092285	0.000375000003259629
CG17341	-2.51557993888855	0
CG4168	-2.890631914138794	0
